model_name,answer_pair,prompt_protocol,target_layer,n_prompts,pca_n_components,pc1_d_projection_r,pc1_d_projection_p,abs_pc1_d_projection_r,pc2_d_projection_r,pc2_d_projection_p,direct_pc1_axis_pearson,abs_direct_pc1_axis_pearson,direct_pc1_axis_cosine,abs_direct_pc1_axis_cosine,d_stance_variance_ratio,response_parse_rate,response_accuracy_raw_parser,response_counts,true_answer_counts,source_json,prompt_template
qwen25_3b,right_wrong,legacy_unspecified,26,100,32,-0.9989080782312524,3.2803270481771235e-132,0.9989080782312524,-0.0200289508838927,0.8432084319038148,-0.8038944735265529,0.8038944735265529,-0.8039719391999067,0.8039719391999067,0.4188810676582459,1.0,0.69,"{""right"": 57, ""wrong"": 43}","{""right"": 50, ""wrong"": 50}",qwen25_3b/pca_projection_layer26_word_assent.json,'{option1}' comes before '{option2}' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.
qwen25_3b,true_false,r1_matched_answer_labels_v2,26,100,32,-0.99464316823515,2.0767909645665388e-98,0.99464316823515,0.0959882717520077,0.3421068943094266,-0.7805384157644482,0.7805384157644482,-0.7801448804231472,0.7801448804231472,0.3909049290461369,1.0,0.67,"{""false"": 37, ""true"": 63}","{""false"": 50, ""true"": 50}",qwen25_3b/pca_projection_layer26_word_assent_true_false.json,'{option1}' comes before '{option2}' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.
qwen25_7b,right_wrong,legacy_unspecified,18,100,32,-0.9889781240973736,4.105119695112464e-83,0.9889781240973736,-0.0185747017166141,0.8544625795429414,-0.659734617852264,0.659734617852264,-0.6596507911761904,0.6596507911761904,0.194248354572728,1.0,0.71,"{""right"": 77, ""wrong"": 23}","{""right"": 50, ""wrong"": 50}",qwen25_7b/pca_projection_layer18_word_assent.json,'{option1}' comes before '{option2}' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.
qwen25_7b,true_false,r1_matched_answer_labels_v2,18,100,32,-0.98439830192032,9.144179284759751e-76,0.98439830192032,-0.0515226822201798,0.6106909118097367,-0.6464220792872939,0.6464220792872939,-0.6463699229842257,0.6463699229842257,0.1929178311957735,1.0,0.7,"{""false"": 22, ""true"": 78}","{""false"": 50, ""true"": 50}",qwen25_7b/pca_projection_layer18_word_assent_true_false.json,'{option1}' comes before '{option2}' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.
llama3_8b,right_wrong,legacy_unspecified,13,100,32,-0.743402263609483,8.173679640973569e-19,0.743402263609483,-0.6088846694771608,1.8040728897393267e-11,-0.3829488575437546,0.3829488575437546,-0.3830989412098811,0.3830989412098811,0.072591090261281,1.0,0.67,"{""right"": 65, ""wrong"": 35}","{""right"": 50, ""wrong"": 50}",llama3_8b/pca_projection_layer13_word_assent.json,'{option1}' comes before '{option2}' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.
llama3_8b,true_false,r1_matched_answer_labels_v2,13,100,32,-0.8643424301033229,5.159304689946753e-31,0.8643424301033229,-0.421832554287302,1.2362278126446042e-05,-0.4486184807083667,0.4486184807083667,-0.4487883967857766,0.4487883967857766,0.0824676935451255,1.0,0.62,"{""false"": 26, ""true"": 74}","{""false"": 50, ""true"": 50}",llama3_8b/pca_projection_layer13_word_assent_true_false.json,'{option1}' comes before '{option2}' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.
mistral_7b,right_wrong,legacy_unspecified,14,100,32,-0.9473108115175978,2.984791103982464e-50,0.9473108115175978,-0.2731665162812839,0.005962673011353,-0.5207160227491774,0.5207160227491774,-0.5211848503381944,0.5211848503381944,0.0825482487499297,1.0,0.5,"{""right"": 100}","{""right"": 50, ""wrong"": 50}",mistral_7b/pca_projection_layer14_word_assent.json,"In the standard English alphabet order, '{option1}' comes before '{option2}' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'."
mistral_7b,true_false,r1_matched_answer_labels_v2,14,100,32,0.7945376735836814,5.890573995249767e-23,0.7945376735836814,-0.5873412639564636,1.334258912055124e-10,0.4001981624298152,0.4001981624298152,0.4007468790305413,0.4007468790305413,0.0625601303789332,1.0,0.5,"{""true"": 100}","{""false"": 50, ""true"": 50}",mistral_7b/pca_projection_layer14_word_assent_true_false.json,"In the standard English alphabet order, '{option1}' comes before '{option2}' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'."
gemma2_9b,right_wrong,legacy_unspecified,22,100,32,0.951091005313792,8.5150456502464e-52,0.951091005313792,0.2443026023120318,0.0143035051250053,0.5121732403863284,0.5121732403863284,0.5125675753599314,0.5125675753599314,0.107980229590942,1.0,0.5,"{""right"": 100}","{""right"": 50, ""wrong"": 50}",gemma2_9b/pca_projection_layer22_word_assent.json,'{option1}' comes before '{option2}' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.
gemma2_9b,true_false,r1_matched_answer_labels_v2,22,100,32,-0.932827324562631,3.0950786354867735e-45,0.932827324562631,0.2693782173229383,0.0067241346627524,-0.4750034033314666,0.4750034033314666,-0.4753905753389504,0.4753905753389504,0.0839670218946729,1.0,0.5,"{""true"": 100}","{""false"": 50, ""true"": 50}",gemma2_9b/pca_projection_layer22_word_assent_true_false.json,'{option1}' comes before '{option2}' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.
qwen25_14b,right_wrong,legacy_unspecified,28,100,32,-0.9950041575416148,6.861593565662299e-100,0.9950041575416148,-0.0039475969816837,0.968906489475108,-0.6396618101946161,0.6396618101946161,-0.6396126172280312,0.6396126172280312,0.2244241916023585,1.0,0.91,"{""right"": 59, ""wrong"": 41}","{""right"": 50, ""wrong"": 50}",qwen25_14b/pca_projection_layer28_word_assent.json,'{option1}' comes before '{option2}' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.
qwen25_14b,true_false,r1_matched_answer_labels_v2,28,100,32,-0.9933773648049804,6.583308612080584e-94,0.9933773648049804,-0.0097157781291255,0.9235694019689475,-0.6263256786497785,0.6263256786497785,-0.6262922870343288,0.6262922870343288,0.198396225950755,1.0,0.83,"{""false"": 33, ""true"": 67}","{""false"": 50, ""true"": 50}",qwen25_14b/pca_projection_layer28_word_assent_true_false.json,'{option1}' comes before '{option2}' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.
qwen25_32b,right_wrong,legacy_unspecified,43,100,32,-0.994625327778316,2.443233212113e-98,0.994625327778316,0.0271427921587151,0.7886494510684807,-0.5253489689561561,0.5253489689561561,-0.5254210512958064,0.5254210512958064,0.1438609306230661,1.0,0.89,"{""right"": 59, ""wrong"": 41}","{""right"": 50, ""wrong"": 50}",qwen25_32b/pca_projection_layer43_word_assent.json,'{option1}' comes before '{option2}' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.
qwen25_32b,true_false,r1_matched_answer_labels_v2,43,100,32,-0.9820952745029636,7.36925087190545e-73,0.9820952745029636,-0.0213135092149291,0.8332935658805282,-0.4729092813639293,0.4729092813639293,-0.4729768033272956,0.4729768033272956,0.0955671785227661,1.0,0.92,"{""false"": 46, ""true"": 54}","{""false"": 50, ""true"": 50}",qwen25_32b/pca_projection_layer43_word_assent_true_false.json,'{option1}' comes before '{option2}' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.
qwen25_72b,right_wrong,legacy_unspecified,52,100,32,0.987842170528438,4.887463235624899e-81,0.987842170528438,0.0386728453335728,0.70245448277712,0.604958078348391,0.604958078348391,0.6049639749891058,0.6049639749891058,0.2151101058427336,1.0,0.78,"{""right"": 72, ""wrong"": 28}","{""right"": 50, ""wrong"": 50}",qwen25_72b/pca_projection_layer52_word_assent.json,'{option1}' comes before '{option2}' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.
qwen25_72b,true_false,r1_matched_answer_labels_v2,52,100,32,0.9832095989610722,3.2469689995542663e-74,0.9832095989610722,0.034700428796968,0.7317904308225319,0.5749915473838021,0.5749915473838021,0.5749987938785278,0.5749987938785278,0.1802635752104667,1.0,0.78,"{""false"": 28, ""true"": 72}","{""false"": 50, ""true"": 50}",qwen25_72b/pca_projection_layer52_word_assent_true_false.json,'{option1}' comes before '{option2}' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.
