panel,metric,condition,alpha_norm,mean,ci_low,ci_high,n_models,endpoint,model_name,model_mean,mean_across_models
A. Direct numeric computation,numeric_correct_margin_delta,direct_numeric,-1.0,-4.450547521511714,-7.490944763839246,-2.10052712659041,8,,,,
A. Direct numeric computation,numeric_correct_margin_delta,direct_numeric,-0.8,-2.864729189177354,-4.777406682496269,-1.3144576150178904,8,,,,
A. Direct numeric computation,numeric_correct_margin_delta,direct_numeric,-0.6,-1.7616262571016943,-2.953029614758988,-0.781876837293307,8,,,,
A. Direct numeric computation,numeric_correct_margin_delta,direct_numeric,-0.4,-1.069487471878528,-2.025384522346158,-0.3665007827778652,8,,,,
A. Direct numeric computation,numeric_correct_margin_delta,direct_numeric,-0.2,-0.4708128445347144,-0.9875096825882784,-0.1091647669499112,8,,,,
A. Direct numeric computation,numeric_correct_margin_delta,direct_numeric,0.0,0.0,0.0,0.0,8,,,,
A. Direct numeric computation,numeric_correct_margin_delta,direct_numeric,0.2,0.0266230410337442,-0.2243334720532104,0.2921734793658048,8,,,,
A. Direct numeric computation,numeric_correct_margin_delta,direct_numeric,0.4,-0.3179697293043131,-0.9556172120571138,0.2793185577789958,8,,,,
A. Direct numeric computation,numeric_correct_margin_delta,direct_numeric,0.6,-1.002471261421839,-2.070380951109032,-0.0119554782013094,8,,,,
A. Direct numeric computation,numeric_correct_margin_delta,direct_numeric,0.8,-2.1913964975873617,-3.927597483776508,-0.5269228485226627,8,,,,
A. Direct numeric computation,numeric_correct_margin_delta,direct_numeric,1.0,-4.168504451513289,-6.97635631559789,-1.4561385712126933,8,,,,
B. Verification assent,assent_margin_delta,verification_true,-1.0,-12.054007137517134,-18.005725247174503,-6.872633123221502,8,,,,
B. Verification assent,assent_margin_delta,verification_true,-0.8,-11.568749105532964,-17.05093340555082,-6.8192066503415605,8,,,,
B. Verification assent,assent_margin_delta,verification_true,-0.6,-10.425135211845236,-15.056632475532588,-6.5663428765262255,8,,,,
B. Verification assent,assent_margin_delta,verification_true,-0.4,-8.279971284468967,-11.473746188069384,-5.633533309236169,8,,,,
B. Verification assent,assent_margin_delta,verification_true,-0.2,-4.666365988453229,-6.177268937031428,-3.2364496020476023,8,,,,
B. Verification assent,assent_margin_delta,verification_true,0.0,0.0,0.0,0.0,8,,,,
B. Verification assent,assent_margin_delta,verification_true,0.2,5.661203120549519,3.825001226608952,7.541068488188083,8,,,,
B. Verification assent,assent_margin_delta,verification_true,0.4,10.45776778916518,6.501873223071296,14.673511687060191,8,,,,
B. Verification assent,assent_margin_delta,verification_true,0.6,13.294471758306027,7.981805360275011,19.1203426372682,8,,,,
B. Verification assent,assent_margin_delta,verification_true,0.8,14.552427454590797,8.879614521866042,20.71728077699741,8,,,,
B. Verification assent,assent_margin_delta,verification_true,1.0,14.981960195600983,9.060064345697562,21.216860652213292,8,,,,
B. Verification assent,assent_margin_delta,verification_false,-1.0,-4.672561607857546,-6.1791908546711,-3.2937448433215426,8,,,,
B. Verification assent,assent_margin_delta,verification_false,-0.8,-5.051157586375872,-6.427123558240633,-3.7689918881431215,8,,,,
B. Verification assent,assent_margin_delta,verification_false,-0.6,-5.316176255444685,-6.562789163996776,-3.97736545642217,8,,,,
B. Verification assent,assent_margin_delta,verification_false,-0.4,-4.90361054132382,-6.128391779661179,-3.597385228025417,8,,,,
B. Verification assent,assent_margin_delta,verification_false,-0.2,-3.2040814632177352,-4.031414700920383,-2.307166347796718,8,,,,
B. Verification assent,assent_margin_delta,verification_false,0.0,0.0,0.0,0.0,8,,,,
B. Verification assent,assent_margin_delta,verification_false,0.2,5.164453564385573,3.794914729875823,6.635368100869157,8,,,,
B. Verification assent,assent_margin_delta,verification_false,0.4,11.586637357374034,7.825635690587262,15.39075084378322,8,,,,
B. Verification assent,assent_margin_delta,verification_false,0.6,17.03760035465161,10.787619819045068,22.90522960474094,8,,,,
B. Verification assent,assent_margin_delta,verification_false,0.8,20.05978193451961,13.085500305814048,26.825560028741755,8,,,,
B. Verification assent,assent_margin_delta,verification_false,1.0,21.55824111501376,13.93357901019603,28.894189580827938,8,,,,
C. Item-level steering slopes,numeric_correct_margin_slope,,,,-1.165977478904819,2.4154544665280624,8,direct_numeric_correct_margin,gemma2_9b,0.6031234579014058,0.380976476095843
C. Item-level steering slopes,numeric_correct_margin_slope,,,,-1.165977478904819,2.4154544665280624,8,direct_numeric_correct_margin,llama3_8b,6.594499537222315,0.380976476095843
C. Item-level steering slopes,numeric_correct_margin_slope,,,,-1.165977478904819,2.4154544665280624,8,direct_numeric_correct_margin,mistral_7b,-0.3311573888677538,0.380976476095843
C. Item-level steering slopes,numeric_correct_margin_slope,,,,-1.165977478904819,2.4154544665280624,8,direct_numeric_correct_margin,qwen25_14b,-1.1706132643150562,0.380976476095843
C. Item-level steering slopes,numeric_correct_margin_slope,,,,-1.165977478904819,2.4154544665280624,8,direct_numeric_correct_margin,qwen25_32b,-0.1772593318332322,0.380976476095843
C. Item-level steering slopes,numeric_correct_margin_slope,,,,-1.165977478904819,2.4154544665280624,8,direct_numeric_correct_margin,qwen25_3b,-2.810495579784567,0.380976476095843
C. Item-level steering slopes,numeric_correct_margin_slope,,,,-1.165977478904819,2.4154544665280624,8,direct_numeric_correct_margin,qwen25_72b,-1.2106101159977194,0.380976476095843
C. Item-level steering slopes,numeric_correct_margin_slope,,,,-1.165977478904819,2.4154544665280624,8,direct_numeric_correct_margin,qwen25_7b,1.5503244944413512,0.380976476095843
C. Item-level steering slopes,assent_margin_slope,,,,11.519628016713895,20.90958102314468,8,verification_true_assent_margin,gemma2_9b,6.337325026555496,16.301200503309573
C. Item-level steering slopes,assent_margin_slope,,,,11.519628016713895,20.90958102314468,8,verification_true_assent_margin,llama3_8b,11.556003836501732,16.301200503309573
