model_name,target_layer,item_id,prompt_id,mode,statement_truth,a,b,correct,incorrect,primary_margin_slope,numeric_correct_margin_slope,assent_margin_slope,verification_correct_margin_slope,candidate_accuracy_slope
llama3_8b,13,arith_000,arith_000::direct_numeric,direct_numeric,,23,21,44,45,5.643662154674531,5.643662154674531,,,5.2927805984958746e-17
llama3_8b,13,arith_000,arith_000::verification_false,verification_false,False,23,21,44,45,11.384952805259012,,11.384952805259012,-11.384952805259012,-0.6818181818181818
llama3_8b,13,arith_000,arith_000::verification_true,verification_true,True,23,21,44,45,10.596176450902767,,10.596176450902767,10.596176450902767,0.6363636363636365
llama3_8b,13,arith_001,arith_001::direct_numeric,direct_numeric,,7,33,40,35,7.271087408065799,7.271087408065799,,,5.2927805984958746e-17
llama3_8b,13,arith_001,arith_001::verification_false,verification_false,False,7,33,40,35,12.658763863823632,,12.658763863823632,-12.658763863823632,-0.6818181818181818
llama3_8b,13,arith_001,arith_001::verification_true,verification_true,True,7,33,40,35,12.20393655516885,,12.20393655516885,12.20393655516885,0.6818181818181819
llama3_8b,13,arith_002,arith_002::direct_numeric,direct_numeric,,6,13,19,22,6.767607683485207,6.767607683485207,,,5.2927805984958746e-17
llama3_8b,13,arith_002,arith_002::verification_false,verification_false,False,6,13,19,22,11.163937958804045,,11.163937958804045,-11.163937958804045,-0.6363636363636364
llama3_8b,13,arith_002,arith_002::verification_true,verification_true,True,6,13,19,22,13.056563951752407,,13.056563951752407,13.056563951752407,0.6818181818181819
llama3_8b,13,arith_003,arith_003::direct_numeric,direct_numeric,,47,24,71,63,5.969782173633576,5.969782173633576,,,5.2927805984958746e-17
llama3_8b,13,arith_003,arith_003::verification_false,verification_false,False,47,24,71,63,11.647057381543252,,11.647057381543252,-11.647057381543252,-0.6818181818181818
llama3_8b,13,arith_003,arith_003::verification_true,verification_true,True,47,24,71,63,10.431011590090668,,10.431011590090668,10.431011590090668,0.6363636363636365
llama3_8b,13,arith_004,arith_004::direct_numeric,direct_numeric,,16,17,33,30,6.7273853746327505,6.7273853746327505,,,5.2927805984958746e-17
llama3_8b,13,arith_004,arith_004::verification_false,verification_false,False,16,17,33,30,11.067167065360332,,11.067167065360332,-11.067167065360332,-0.6363636363636364
llama3_8b,13,arith_004,arith_004::verification_true,verification_true,True,16,17,33,30,13.670277340845631,,13.670277340845631,13.670277340845631,0.6818181818181819
llama3_8b,13,arith_005,arith_005::direct_numeric,direct_numeric,,37,21,58,55,7.883198694749314,7.883198694749314,,,5.2927805984958746e-17
llama3_8b,13,arith_005,arith_005::verification_false,verification_false,False,37,21,58,55,11.56726527214051,,11.56726527214051,-11.56726527214051,-0.6818181818181818
llama3_8b,13,arith_005,arith_005::verification_true,verification_true,True,37,21,58,55,11.732238010926682,,11.732238010926682,11.732238010926682,0.6818181818181819
llama3_8b,13,arith_006,arith_006::direct_numeric,direct_numeric,,30,7,37,46,7.132841733368962,7.132841733368962,,,5.2927805984958746e-17
llama3_8b,13,arith_006,arith_006::verification_false,verification_false,False,30,7,37,46,9.329330184242945,,9.329330184242945,-9.329330184242945,-0.6363636363636364
llama3_8b,13,arith_006,arith_006::verification_true,verification_true,True,30,7,37,46,12.914723813533788,,12.914723813533788,12.914723813533788,0.6818181818181819
llama3_8b,13,arith_007,arith_007::direct_numeric,direct_numeric,,35,31,66,70,5.174921967766504,5.174921967766504,,,5.2927805984958746e-17
llama3_8b,13,arith_007,arith_007::verification_false,verification_false,False,35,31,66,70,9.253576365384191,,9.253576365384191,-9.253576365384191,-0.5454545454545455
llama3_8b,13,arith_007,arith_007::verification_true,verification_true,True,35,31,66,70,9.158018719066277,,9.158018719066277,9.158018719066277,0.5454545454545455
llama3_8b,13,arith_008,arith_008::direct_numeric,direct_numeric,,43,39,82,79,5.814482802694496,5.814482802694496,,,5.2927805984958746e-17
llama3_8b,13,arith_008,arith_008::verification_false,verification_false,False,43,39,82,79,12.505205848000273,,12.505205848000273,-12.505205848000273,-0.6818181818181818
llama3_8b,13,arith_008,arith_008::verification_true,verification_true,True,43,39,82,79,13.073452505198397,,13.073452505198397,13.073452505198397,0.6818181818181819
llama3_8b,13,arith_009,arith_009::direct_numeric,direct_numeric,,23,32,55,58,6.07398385893215,6.07398385893215,,,5.2927805984958746e-17
llama3_8b,13,arith_009,arith_009::verification_false,verification_false,False,23,32,55,58,9.620149785822088,,9.620149785822088,-9.620149785822088,-0.6363636363636364
llama3_8b,13,arith_009,arith_009::verification_true,verification_true,True,23,32,55,58,6.139976089650937,,6.139976089650937,6.139976089650937,0.22727272727272732
llama3_8b,13,arith_010,arith_010::direct_numeric,direct_numeric,,5,43,48,39,7.438660692084922,7.438660692084922,,,5.2927805984958746e-17
llama3_8b,13,arith_010,arith_010::verification_false,verification_false,False,5,43,48,39,4.169560627503829,,4.169560627503829,-4.169560627503829,5.2927805984958746e-17
llama3_8b,13,arith_010,arith_010::verification_true,verification_true,True,5,43,48,39,5.822188539938495,,5.822188539938495,5.822188539938495,0.22727272727272732
llama3_8b,13,arith_011,arith_011::direct_numeric,direct_numeric,,15,33,48,53,7.517044755545532,7.517044755545532,,,5.2927805984958746e-17
llama3_8b,13,arith_011,arith_011::verification_false,verification_false,False,15,33,48,53,12.601893782615665,,12.601893782615665,-12.601893782615665,-0.6818181818181818
