model_name,target_layer,item_id,prompt_id,mode,statement_truth,a,b,correct,incorrect,primary_margin_slope,numeric_correct_margin_slope,assent_margin_slope,verification_correct_margin_slope,candidate_accuracy_slope
qwen25_7b,18,arith_000,arith_000::direct_numeric,direct_numeric,,23,21,44,45,1.7159090909090922,1.7159090909090922,,,5.2927805984958746e-17
qwen25_7b,18,arith_000,arith_000::verification_false,verification_false,False,23,21,44,45,22.323505575006664,,22.323505575006664,-22.323505575006664,-0.5454545454545455
qwen25_7b,18,arith_000,arith_000::verification_true,verification_true,True,23,21,44,45,21.255966928872205,,21.255966928872205,21.255966928872205,0.5454545454545455
qwen25_7b,18,arith_001,arith_001::direct_numeric,direct_numeric,,7,33,40,35,-4.840457639910958,-4.840457639910958,,,5.2927805984958746e-17
qwen25_7b,18,arith_001,arith_001::verification_false,verification_false,False,7,33,40,35,25.91477085785433,,25.91477085785433,-25.91477085785433,-0.6818181818181818
qwen25_7b,18,arith_001,arith_001::verification_true,verification_true,True,7,33,40,35,24.420214653015144,,24.420214653015144,24.420214653015144,0.6818181818181819
qwen25_7b,18,arith_002,arith_002::direct_numeric,direct_numeric,,6,13,19,22,3.171911683949558,3.171911683949558,,,5.2927805984958746e-17
qwen25_7b,18,arith_002,arith_002::verification_false,verification_false,False,6,13,19,22,21.153403618118986,,21.153403618118986,-21.153403618118986,-0.6363636363636364
qwen25_7b,18,arith_002,arith_002::verification_true,verification_true,True,6,13,19,22,23.619313386353586,,23.619313386353586,23.619313386353586,0.6818181818181819
qwen25_7b,18,arith_003,arith_003::direct_numeric,direct_numeric,,47,24,71,63,2.982954599640588,2.982954599640588,,,5.2927805984958746e-17
qwen25_7b,18,arith_003,arith_003::verification_false,verification_false,False,47,24,71,63,23.27267775752329,,23.27267775752329,-23.27267775752329,-0.6363636363636364
qwen25_7b,18,arith_003,arith_003::verification_true,verification_true,True,47,24,71,63,22.891441318121828,,22.891441318121828,22.891441318121828,0.6363636363636365
qwen25_7b,18,arith_004,arith_004::direct_numeric,direct_numeric,,16,17,33,30,1.5568181818181834,1.5568181818181834,,,5.2927805984958746e-17
qwen25_7b,18,arith_004,arith_004::verification_false,verification_false,False,16,17,33,30,22.29529676112262,,22.29529676112262,-22.29529676112262,-0.6363636363636364
qwen25_7b,18,arith_004,arith_004::verification_true,verification_true,True,16,17,33,30,20.887646420435477,,20.887646420435477,20.887646420435477,0.5454545454545455
qwen25_7b,18,arith_005,arith_005::direct_numeric,direct_numeric,,37,21,58,55,3.2443181818181825,3.2443181818181825,,,5.2927805984958746e-17
qwen25_7b,18,arith_005,arith_005::verification_false,verification_false,False,37,21,58,55,20.51153604550796,,20.51153604550796,-20.51153604550796,-0.5454545454545455
qwen25_7b,18,arith_005,arith_005::verification_true,verification_true,True,37,21,58,55,21.01120564612476,,21.01120564612476,21.01120564612476,0.6363636363636365
qwen25_7b,18,arith_006,arith_006::direct_numeric,direct_numeric,,30,7,37,46,-0.4275568994608807,-0.4275568994608807,,,5.2927805984958746e-17
qwen25_7b,18,arith_006,arith_006::verification_false,verification_false,False,30,7,37,46,18.238365964456047,,18.238365964456047,-18.238365964456047,-0.5454545454545455
qwen25_7b,18,arith_006,arith_006::verification_true,verification_true,True,30,7,37,46,23.9374458031221,,23.9374458031221,23.9374458031221,0.6818181818181819
qwen25_7b,18,arith_007,arith_007::direct_numeric,direct_numeric,,35,31,66,70,2.3409090909090926,2.3409090909090926,,,5.2927805984958746e-17
qwen25_7b,18,arith_007,arith_007::verification_false,verification_false,False,35,31,66,70,20.380500170317568,,20.380500170317568,-20.380500170317568,-0.6363636363636364
qwen25_7b,18,arith_007,arith_007::verification_true,verification_true,True,35,31,66,70,23.00033932382411,,23.00033932382411,23.00033932382411,0.6363636363636365
qwen25_7b,18,arith_008,arith_008::direct_numeric,direct_numeric,,43,39,82,79,3.802912576632066,3.802912576632066,,,5.2927805984958746e-17
qwen25_7b,18,arith_008,arith_008::verification_false,verification_false,False,43,39,82,79,23.618721333417035,,23.618721333417035,-23.618721333417035,-0.6363636363636364
