model_name,model_label,task,domain,coefficient,ci_low,ci_high,p_value,target_layer
qwen25_3b,Qwen2.5 3B,Continuous,Value Judgment,0.5524979147922726,0.5134499190499517,0.5915459105345935,2.878962789216116e-169,26
qwen25_3b,Qwen2.5 3B,Continuous,Sentiment Analysis,0.7650447012201771,0.7283417135476874,0.8017476888926668,0.0,26
mistral_7b,Mistral-7B v0.3,Continuous,Value Judgment,0.5331457045842791,0.4961614913592379,0.5701299178093203,1.276506409916503e-175,14
mistral_7b,Mistral-7B v0.3,Continuous,Sentiment Analysis,0.6955498838763698,0.6578983755315245,0.7332013922212152,4.703488039907152e-287,14
qwen25_7b,Qwen2.5 7B,Continuous,Value Judgment,0.7689580037619757,0.7360252483483929,0.8018907591755584,0.0,18
qwen25_7b,Qwen2.5 7B,Continuous,Sentiment Analysis,0.8211207201981298,0.7902654396916108,0.8519760007046487,0.0,18
llama3_8b,Llama-3.1 8B,Continuous,Value Judgment,0.9113081532079107,0.8957137801876704,0.926902526228151,0.0,13
llama3_8b,Llama-3.1 8B,Continuous,Sentiment Analysis,0.6699808764308078,0.6434526381724675,0.6965091146891482,0.0,13
gemma2_9b,Gemma-2 9B,Continuous,Value Judgment,0.6605772245446981,0.6262574840084496,0.6948969650809467,0.0,22
gemma2_9b,Gemma-2 9B,Continuous,Sentiment Analysis,0.795180347536183,0.763946035910473,0.826414659161893,0.0,22
qwen25_14b,Qwen2.5 14B,Continuous,Value Judgment,0.8389735936475343,0.8071006910516734,0.8708464962433953,0.0,28
qwen25_14b,Qwen2.5 14B,Continuous,Sentiment Analysis,0.8388068966267713,0.8128616031463033,0.8647521901072394,0.0,28
qwen25_32b,Qwen2.5 32B,Continuous,Value Judgment,0.8546475974288181,0.8246637458765769,0.8846314489810594,0.0,43
qwen25_32b,Qwen2.5 32B,Continuous,Sentiment Analysis,0.9126938184853152,0.8899917995152492,0.9353958374553811,0.0,43
qwen25_72b,Qwen2.5 72B,Continuous,Value Judgment,0.757522883295088,0.7312208825183499,0.783824884071826,0.0,52
qwen25_72b,Qwen2.5 72B,Continuous,Sentiment Analysis,0.8341759385006706,0.809471288832152,0.8588805881691892,0.0,52
