alpha,domain,condition,w_pos,w_neg,w_first,w_second,p_pos,p_neg,p_first,p_second,logit_diff_semantic,logit_diff_positional,Condition,neutral,logit_diff_semantic_centered,logit_diff_positional_centered,normed_alpha,z_logit_diff_semantic,z_a,neutral_binary
-41.9,epistemic,1,Correct,Incorrect,Correct,Incorrect,9.918585419654846e-08,1.0,9.918585419654846e-08,1.0,-16.125,-16.125,congruent,semantic,-3.0,-3.0,-1.0,-0.999450091469335,-1.5807794395055992,1
-33.52,epistemic,1,Correct,Incorrect,Correct,Incorrect,4.67989593744278e-08,1.0,4.67989593744278e-08,1.0,-16.875,-16.875,congruent,semantic,-3.75,-3.75,-0.8,-1.0615065666855124,-1.2646235516044795,1
-25.14,epistemic,1,Correct,Incorrect,Correct,Incorrect,2.840533852577209e-08,1.0,2.840533852577209e-08,1.0,-17.375,-17.375,congruent,semantic,-4.25,-4.25,-0.6,-1.1028775501629642,-0.9484676637033594,1
-16.76,epistemic,1,Correct,Incorrect,Correct,Incorrect,3.2130628824234015e-08,1.0,3.2130628824234015e-08,1.0,-17.25,-17.25,congruent,semantic,-4.125,-4.125,-0.4,-1.0925348042936012,-0.6323117758022397,1
-8.38,epistemic,1,Correct,Incorrect,Correct,Incorrect,1.126900315284729e-07,1.0,1.126900315284729e-07,1.0,-16.0,-16.0,congruent,semantic,-2.875,-2.875,-0.2,-0.989107345599972,-0.31615588790111987,1
0.0,epistemic,1,Correct,Incorrect,Correct,Incorrect,1.996755599975586e-06,1.0,1.996755599975586e-06,1.0,-13.125,-13.125,congruent,semantic,0.0,0.0,0.0,-0.7512241906046248,1.2763765313404844e-18,1
11.6,epistemic,1,Correct,Incorrect,Correct,Incorrect,0.0009117126464843,1.0,0.0009117126464843,1.0,-7.0,-7.0,congruent,semantic,6.125,6.125,0.2,-0.2444296430058417,0.31615588790111987,1
23.2,epistemic,1,Correct,Incorrect,Correct,Incorrect,0.87890625,0.119140625,0.87890625,0.119140625,2.0,2.0,congruent,semantic,15.125,15.125,0.4,0.5002480595882887,0.6323117758022397,1
34.8,epistemic,1,Correct,Incorrect,Correct,Incorrect,1.0,0.0005531311035156,1.0,0.0005531311035156,7.5,7.5,congruent,semantic,20.625,20.625,0.6,0.9553288778402573,0.9484676637033594,1
46.4,epistemic,1,Correct,Incorrect,Correct,Incorrect,1.0,3.528594970703125e-05,1.0,3.528594970703125e-05,10.25,10.25,congruent,semantic,23.375,23.375,0.8,1.1828692869662416,1.2646235516044795,1
58.0,epistemic,1,Correct,Incorrect,Correct,Incorrect,1.0,1.0132789611816406e-05,1.0,1.0132789611816406e-05,11.5,11.5,congruent,semantic,24.625,24.625,1.0,1.2862967456598708,1.5807794395055992,1
-41.9,epistemic,-1,Correct,Incorrect,Incorrect,Correct,1.0654330253601074e-06,1.0,1.0,1.0654330253601074e-06,-13.75,13.75,incongruent,semantic,-4.75,4.75,-1.0,-0.8029379199514394,-1.5807794395055992,1
-33.52,epistemic,-1,Correct,Incorrect,Incorrect,Correct,1.0654330253601074e-06,1.0,1.0,1.0654330253601074e-06,-13.75,13.75,incongruent,semantic,-4.75,4.75,-0.8,-0.8029379199514394,-1.2646235516044795,1
-25.14,epistemic,-1,Correct,Incorrect,Incorrect,Correct,9.424984455108644e-07,1.0,1.0,9.424984455108644e-07,-13.875,13.875,incongruent,semantic,-4.875,4.875,-0.6,-0.8132806658208024,-0.9484676637033594,1
-16.76,epistemic,-1,Correct,Incorrect,Incorrect,Correct,1.2069940567016602e-06,1.0,1.0,1.2069940567016602e-06,-13.625,13.625,incongruent,semantic,-4.625,4.625,-0.4,-0.7925951740820765,-0.6323117758022397,1
-8.38,epistemic,-1,Correct,Incorrect,Incorrect,Correct,5.424022674560547e-06,1.0,1.0,5.424022674560547e-06,-12.125,12.125,incongruent,semantic,-3.125,3.125,-0.2,-0.6684822236497214,-0.31615588790111987,1
0.0,epistemic,-1,Correct,Incorrect,Incorrect,Correct,0.0001230239868164,1.0,1.0,0.0001230239868164,-9.0,9.0,incongruent,semantic,0.0,0.0,0.0,-0.40991357691564845,1.2763765313404844e-18,1
11.6,epistemic,-1,Correct,Incorrect,Incorrect,Correct,0.09521484375,0.90625,0.90625,0.09521484375,-2.25,2.25,incongruent,semantic,6.75,-6.75,0.2,0.14859470002994934,0.31615588790111987,1
23.2,epistemic,-1,Correct,Incorrect,Incorrect,Correct,0.92578125,0.07568359375,0.07568359375,0.92578125,2.5,-2.5,incongruent,semantic,11.5,-11.5,0.4,0.5416190430657404,0.6323117758022397,1
34.8,epistemic,-1,Correct,Incorrect,Incorrect,Correct,0.99609375,0.005218505859375,0.005218505859375,0.99609375,5.25,-5.25,incongruent,semantic,14.25,-14.25,0.6,0.7691594521917248,0.9484676637033594,1
46.4,epistemic,-1,Correct,Incorrect,Incorrect,Correct,1.0,0.0007095336914062,0.0007095336914062,1.0,7.25,-7.25,incongruent,semantic,16.25,-16.25,0.8,0.9346433861015315,1.2646235516044795,1
58.0,epistemic,-1,Correct,Incorrect,Incorrect,Correct,1.0,0.0002031326293945,0.0002031326293945,1.0,8.5,-8.5,incongruent,semantic,17.5,-17.5,1.0,1.0380708447951608,1.5807794395055992,1
