model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,alpha_norm,template_name,first_token_logit_diff_canonical_AB,first_token_logit_diff_canonical_BA,logprob_diff_canonical_AB,logprob_diff_canonical_BA,d_AB,d_BA,semantic_component,position_component,first_token_d_AB,first_token_d_BA,first_token_semantic_component,first_token_position_component
gemma2_9b,22,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-0.25,0.125,-0.25,0.125,-0.25,0.125,-0.0625,-0.1875,-0.25,0.125,-0.0625,-0.1875
gemma2_9b,22,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,0.0,-0.25,0.0,-0.25,0.0,-0.25,-0.125,0.125,0.0,-0.25,-0.125,0.125
gemma2_9b,22,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,0.375,-1.125,0.375,-1.126953125,0.375,-1.126953125,-0.3759765625,0.7509765625,0.375,-1.125,-0.375,0.75
gemma2_9b,22,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,1.125,-2.0,1.126953125,-2.0068359375,1.126953125,-2.0068359375,-0.43994140625,1.56689453125,1.125,-2.0,-0.4375,1.5625
gemma2_9b,22,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,2.0,-3.375,2.0029296875,-3.375244140625,2.0029296875,-3.375244140625,-0.6861572265625,2.6890869140625,2.0,-3.375,-0.6875,2.6875
gemma2_9b,22,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,3.25,-4.0,3.25,-4.009033203125,3.25,-4.009033203125,-0.3795166015625,3.6295166015625,3.25,-4.0,-0.375,3.625
gemma2_9b,22,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,3.875,-4.625,3.8765869140625,-4.638427734375,3.8765869140625,-4.638427734375,-0.38092041015625,4.25750732421875,3.875,-4.625,-0.375,4.25
gemma2_9b,22,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,4.375,-4.75,4.381591796875,-4.754150390625,4.381591796875,-4.754150390625,-0.186279296875,4.56787109375,4.375,-4.75,-0.1875,4.5625
gemma2_9b,22,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,4.5,-4.625,4.5069580078125,-4.61474609375,4.5069580078125,-4.61474609375,-0.05389404296875,4.56085205078125,4.5,-4.625,-0.0625,4.5625
gemma2_9b,22,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,4.5,-4.375,4.5032958984375,-4.37646484375,4.5032958984375,-4.37646484375,0.06341552734375,4.43988037109375,4.5,-4.375,0.0625,4.4375
gemma2_9b,22,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,4.375,-4.25,4.3760986328125,-4.23974609375,4.3760986328125,-4.23974609375,0.06817626953125,4.30792236328125,4.375,-4.25,0.0625,4.3125
gemma2_9b,22,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-0.625,-0.75,-0.62109375,-0.75,-0.62109375,-0.75,-0.685546875,0.064453125,-0.625,-0.75,-0.6875,0.0625
gemma2_9b,22,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-0.375,-0.75,-0.375,-0.74609375,-0.375,-0.74609375,-0.560546875,0.185546875,-0.375,-0.75,-0.5625,0.1875
gemma2_9b,22,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,0.125,-1.0,0.125,-1.0,0.125,-1.0,-0.4375,0.5625,0.125,-1.0,-0.4375,0.5625
gemma2_9b,22,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,0.75,-1.25,0.751953125,-1.25,0.751953125,-1.25,-0.2490234375,1.0009765625,0.75,-1.25,-0.25,1.0
gemma2_9b,22,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,1.625,-1.875,1.6220703125,-1.8681640625,1.6220703125,-1.8681640625,-0.123046875,1.7451171875,1.625,-1.875,-0.125,1.75
gemma2_9b,22,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,2.75,-2.625,2.755859375,-2.6259765625,2.755859375,-2.6259765625,0.06494140625,2.69091796875,2.75,-2.625,0.0625,2.6875
gemma2_9b,22,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,3.625,-2.875,3.6318359375,-2.876953125,3.6318359375,-2.876953125,0.37744140625,3.25439453125,3.625,-2.875,0.375,3.25
gemma2_9b,22,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,4.0,-3.25,3.9912109375,-3.2578125,3.9912109375,-3.2578125,0.36669921875,3.62451171875,4.0,-3.25,0.375,3.625
gemma2_9b,22,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,4.375,-3.375,4.3740234375,-3.3818359375,4.3740234375,-3.3818359375,0.49609375,3.8779296875,4.375,-3.375,0.5,3.875
gemma2_9b,22,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,4.5,-3.125,4.513671875,-3.1171875,4.513671875,-3.1171875,0.6982421875,3.8154296875,4.5,-3.125,0.6875,3.8125
gemma2_9b,22,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,4.5,-3.0,4.494140625,-2.998046875,4.494140625,-2.998046875,0.748046875,3.74609375,4.5,-3.0,0.75,3.75
gemma2_9b,22,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,1.5,0.25,1.501953125,0.25,1.501953125,0.25,0.8759765625,0.6259765625,1.5,0.25,0.875,0.625
gemma2_9b,22,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,1.625,-0.375,1.6240234375,-0.375,1.6240234375,-0.375,0.62451171875,0.99951171875,1.625,-0.375,0.625,1.0
gemma2_9b,22,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,2.375,-1.125,2.38037109375,-1.123046875,2.38037109375,-1.123046875,0.628662109375,1.751708984375,2.375,-1.125,0.625,1.75
gemma2_9b,22,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,2.875,-2.375,2.8779296875,-2.373046875,2.8779296875,-2.373046875,0.25244140625,2.62548828125,2.875,-2.375,0.25,2.625
gemma2_9b,22,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,3.875,-4.125,3.869873046875,-4.1240234375,3.869873046875,-4.1240234375,-0.1270751953125,3.9969482421875,3.875,-4.125,-0.125,4.0
gemma2_9b,22,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,4.75,-5.25,4.7646484375,-5.2392578125,4.7646484375,-5.2392578125,-0.2373046875,5.001953125,4.75,-5.25,-0.25,5.0
gemma2_9b,22,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,5.625,-6.125,5.62109375,-6.123046875,5.62109375,-6.123046875,-0.2509765625,5.8720703125,5.625,-6.125,-0.25,5.875
gemma2_9b,22,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,5.875,-6.375,5.88623046875,-6.36279296875,5.88623046875,-6.36279296875,-0.23828125,6.12451171875,5.875,-6.375,-0.25,6.125
gemma2_9b,22,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,5.875,-6.125,5.8837890625,-6.13037109375,5.8837890625,-6.13037109375,-0.123291015625,6.007080078125,5.875,-6.125,-0.125,6.0
gemma2_9b,22,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,6.0625,-5.75,6.0576171875,-5.75341796875,6.0576171875,-5.75341796875,0.152099609375,5.905517578125,6.0625,-5.75,0.15625,5.90625
gemma2_9b,22,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,6.0625,-5.25,6.072265625,-5.234375,6.072265625,-5.234375,0.4189453125,5.6533203125,6.0625,-5.25,0.40625,5.65625
gemma2_9b,22,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,0.875,0.375,0.873046875,0.375,0.873046875,0.375,0.6240234375,0.2490234375,0.875,0.375,0.625,0.25
gemma2_9b,22,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,1.0,-0.125,1.001953125,-0.125,1.001953125,-0.125,0.4384765625,0.5634765625,1.0,-0.125,0.4375,0.5625
gemma2_9b,22,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,1.375,-0.75,1.37109375,-0.75,1.37109375,-0.75,0.310546875,1.060546875,1.375,-0.75,0.3125,1.0625
gemma2_9b,22,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,2.0,-1.875,2.005859375,-1.8798828125,2.005859375,-1.8798828125,0.06298828125,1.94287109375,2.0,-1.875,0.0625,1.9375
gemma2_9b,22,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,3.0,-3.375,2.9990234375,-3.37890625,2.9990234375,-3.37890625,-0.18994140625,3.18896484375,3.0,-3.375,-0.1875,3.1875
gemma2_9b,22,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,3.75,-4.3125,3.75390625,-4.298828125,3.75390625,-4.298828125,-0.2724609375,4.0263671875,3.75,-4.3125,-0.28125,4.03125
gemma2_9b,22,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,4.4375,-5.1875,4.447265625,-5.1767578125,4.447265625,-5.1767578125,-0.36474609375,4.81201171875,4.4375,-5.1875,-0.375,4.8125
gemma2_9b,22,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,4.625,-5.5625,4.634765625,-5.5537109375,4.634765625,-5.5537109375,-0.45947265625,5.09423828125,4.625,-5.5625,-0.46875,5.09375
gemma2_9b,22,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,4.5,-5.5625,4.4892578125,-5.5693359375,4.4892578125,-5.5693359375,-0.5400390625,5.029296875,4.5,-5.5625,-0.53125,5.03125
gemma2_9b,22,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,4.375,-5.5625,4.3603515625,-5.5673828125,4.3603515625,-5.5673828125,-0.603515625,4.9638671875,4.375,-5.5625,-0.59375,4.96875
gemma2_9b,22,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,3.9375,-5.125,3.9296875,-5.138671875,3.9296875,-5.138671875,-0.6044921875,4.5341796875,3.9375,-5.125,-0.59375,4.53125
gemma2_9b,22,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-0.875,-3.375,-0.875,-3.3681640625,-0.875,-3.3681640625,-2.12158203125,1.24658203125,-0.875,-3.375,-2.125,1.25
gemma2_9b,22,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-0.25,-4.25,-0.25,-4.24755859375,-0.25,-4.24755859375,-2.248779296875,1.998779296875,-0.25,-4.25,-2.25,2.0
gemma2_9b,22,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,0.0,-5.0,0.0,-5.00146484375,0.0,-5.00146484375,-2.500732421875,2.500732421875,0.0,-5.0,-2.5,2.5
gemma2_9b,22,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,0.625,-5.625,0.626953125,-5.622314453125,0.626953125,-5.622314453125,-2.4976806640625,3.1246337890625,0.625,-5.625,-2.5,3.125
gemma2_9b,22,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,1.625,-6.375,1.623046875,-6.367919921875,1.623046875,-6.367919921875,-2.3724365234375,3.9954833984375,1.625,-6.375,-2.375,4.0
gemma2_9b,22,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,3.0,-6.8125,3.0078125,-6.81591796875,3.0078125,-6.81591796875,-1.904052734375,4.911865234375,3.0,-6.8125,-1.90625,4.90625
