model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,alpha_norm,template_name,first_token_logit_diff_canonical_AB,first_token_logit_diff_canonical_BA,logprob_diff_canonical_AB,logprob_diff_canonical_BA,d_AB,d_BA,semantic_component,position_component,first_token_d_AB,first_token_d_BA,first_token_semantic_component,first_token_position_component
llama3_8b,13,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0
llama3_8b,13,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,2.375,-1.0,2.37890625,-1.00390625,2.37890625,-1.00390625,0.6875,1.69140625,2.375,-1.0,0.6875,1.6875
llama3_8b,13,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,2.5,-1.5,2.501953125,-1.50390625,2.501953125,-1.50390625,0.4990234375,2.0029296875,2.5,-1.5,0.5,2.0
llama3_8b,13,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,1.875,-1.5,1.876953125,-1.5,1.876953125,-1.5,0.1884765625,1.6884765625,1.875,-1.5,0.1875,1.6875
llama3_8b,13,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,2.0,-2.25,2.00390625,-2.2548828125,2.00390625,-2.2548828125,-0.12548828125,2.12939453125,2.0,-2.25,-0.125,2.125
llama3_8b,13,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,3.125,-4.5,3.1171875,-4.5009765625,3.1171875,-4.5009765625,-0.69189453125,3.80908203125,3.125,-4.5,-0.6875,3.8125
llama3_8b,13,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,3.5,-5.375,3.5,-5.3623046875,3.5,-5.3623046875,-0.93115234375,4.43115234375,3.5,-5.375,-0.9375,4.4375
llama3_8b,13,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,3.875,-6.0,3.873046875,-6.0078125,3.873046875,-6.0078125,-1.0673828125,4.9404296875,3.875,-6.0,-1.0625,4.9375
llama3_8b,13,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,4.0,-6.25,3.998046875,-6.26171875,3.998046875,-6.26171875,-1.1318359375,5.1298828125,4.0,-6.25,-1.125,5.125
llama3_8b,13,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,3.875,-6.625,3.86328125,-6.63671875,3.86328125,-6.63671875,-1.38671875,5.25,3.875,-6.625,-1.375,5.25
llama3_8b,13,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,4.0,-6.75,3.9921875,-6.76171875,3.9921875,-6.76171875,-1.384765625,5.376953125,4.0,-6.75,-1.375,5.375
llama3_8b,13,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,1.625,2.625,1.617314338684082,2.609511375427246,1.617314338684082,2.609511375427246,2.113412857055664,-0.496098518371582,1.625,2.625,2.125,-0.5
llama3_8b,13,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,2.375,1.625,2.3711371421813965,1.6250452995300293,2.3711371421813965,1.6250452995300293,1.998091220855713,0.3730459213256836,2.375,1.625,2.0,0.375
llama3_8b,13,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,2.75,0.875,2.742215156555176,0.8750252723693848,2.742215156555176,0.8750252723693848,1.8086202144622805,0.9335949420928956,2.75,0.875,1.8125,0.9375
llama3_8b,13,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,2.5,0.375,2.5000200271606445,0.3750221729278564,2.5000200271606445,0.3750221729278564,1.4375211000442505,1.062498927116394,2.5,0.375,1.4375,1.0625
llama3_8b,13,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,2.625,0.0,2.6250182390213013,1.609325408935547e-05,2.6250182390213013,1.609325408935547e-05,1.312517166137695,1.312501072883606,2.625,0.0,1.3125,1.3125
llama3_8b,13,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,4.0,-1.125,4.015638113021851,-1.1328012943267822,4.015638113021851,-1.1328012943267822,1.4414184093475342,2.5742197036743164,4.0,-1.125,1.4375,2.5625
llama3_8b,13,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,4.5,-1.5,4.500012636184692,-1.5078028440475464,4.500012636184692,-1.5078028440475464,1.496104896068573,3.0039077401161194,4.5,-1.5,1.5,3.0
llama3_8b,13,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,4.75,-1.875,4.757825255393982,-1.8828037977218628,4.757825255393982,-1.8828037977218628,1.4375107288360596,3.3203145265579224,4.75,-1.875,1.4375,3.3125
llama3_8b,13,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,5.0,-2.125,5.0078266859054565,-2.1288970708847046,5.0078266859054565,-2.1288970708847046,1.439464807510376,3.568361878395081,5.0,-2.125,1.4375,3.5625
llama3_8b,13,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,5.125,-2.125,5.132827520370483,-2.121084690093994,5.132827520370483,-2.121084690093994,1.5058714151382446,3.626956105232239,5.125,-2.125,1.5,3.625
llama3_8b,13,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,4.75,-2.375,4.757828116416931,-2.367175459861756,4.757828116416931,-2.367175459861756,1.195326328277588,3.5625017881393437,4.75,-2.375,1.1875,3.5625
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,3.0,-2.25,2.99173355102539,-2.266460418701172,2.99173355102539,-2.266460418701172,0.3626365661621094,2.629096984863281,3.0,-2.25,0.375,2.625
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,3.625,-2.875,3.620854377746582,-2.8832035064697266,3.620854377746582,-2.8832035064697266,0.3688254356384277,3.2520289421081543,3.625,-2.875,0.375,3.25
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,3.625,-3.25,3.624814033508301,-3.2385482788085938,3.624814033508301,-3.2385482788085938,0.1931328773498535,3.4316811561584477,3.625,-3.25,0.1875,3.4375
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,2.125,-3.5,2.132603645324707,-3.5041732788085938,2.132603645324707,-3.5041732788085938,-0.6857848167419434,2.8183884620666504,2.125,-3.5,-0.6875,2.8125
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,1.875,-3.625,1.87869930267334,-3.621395111083984,1.87869930267334,-3.621395111083984,-0.8713479042053223,2.750047206878662,1.875,-3.625,-0.875,2.75
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,3.375,-4.375,3.366954803466797,-4.371479034423828,3.366954803466797,-4.371479034423828,-0.5022621154785156,3.869216918945313,3.375,-4.375,-0.5,3.875
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,3.875,-4.625,3.863018035888672,-4.621479034423828,3.863018035888672,-4.621479034423828,-0.3792304992675781,4.24224853515625,3.875,-4.625,-0.375,4.25
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,4.625,-4.75,4.620830535888672,-4.738777160644531,4.620830535888672,-4.738777160644531,-0.0589733123779296,4.679803848266602,4.625,-4.75,-0.0625,4.6875
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,5.0,-5.125,4.999702453613281,-5.129398345947266,4.999702453613281,-5.129398345947266,-0.0648479461669921,5.064550399780273,5.0,-5.125,-0.0625,5.0625
