model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,alpha_norm,template_name,first_token_logit_diff_canonical_AB,first_token_logit_diff_canonical_BA,logprob_diff_canonical_AB,logprob_diff_canonical_BA,d_AB,d_BA,semantic_component,position_component,first_token_d_AB,first_token_d_BA,first_token_semantic_component,first_token_position_component
mistral_7b,14,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-2.59375,5.59375,-2.6249983310699463,5.562513589859009,-2.6249983310699463,5.562513589859009,1.4687576293945312,-4.0937559604644775,-2.59375,5.59375,1.5,-4.09375
mistral_7b,14,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-2.15625,4.59375,-2.156248092651367,4.593760251998901,-2.156248092651367,4.593760251998901,1.218756079673767,-3.3750041723251343,-2.15625,4.59375,1.21875,-3.375
mistral_7b,14,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,-1.0625,2.46875,-1.062497854232788,2.453133106231689,-1.062497854232788,2.453133106231689,0.6953176259994507,-1.7578154802322388,-1.0625,2.46875,0.703125,-1.765625
mistral_7b,14,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,0.0,-1.625,2.026557922363281e-06,-1.6249945163726809,2.026557922363281e-06,-1.6249945163726809,-0.8124962449073792,0.8124982714653015,0.0,-1.625,-0.8125,0.8125
mistral_7b,14,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,1.375,-7.71875,1.3750020265579224,-7.703120708465576,1.3750020265579224,-7.703120708465576,-3.164059340953827,4.539061367511749,1.375,-7.71875,-3.171875,4.546875
mistral_7b,14,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,3.0,-11.234375,3.000002145767212,-11.218746781349182,3.000002145767212,-11.218746781349182,-4.109372317790985,7.109374463558197,3.0,-11.234375,-4.1171875,7.1171875
mistral_7b,14,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,4.9375,-12.328125,4.953126907348633,-12.281247854232788,4.953126907348633,-12.281247854232788,-3.6640604734420776,8.61718738079071,4.9375,-12.328125,-3.6953125,8.6328125
mistral_7b,14,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,6.625,-12.546875,6.609376668930054,-12.531248450279236,6.609376668930054,-12.531248450279236,-2.960935890674591,9.570312559604645,6.625,-12.546875,-2.9609375,9.5859375
mistral_7b,14,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,7.75,-12.34375,7.781251192092895,-12.281248807907104,7.781251192092895,-12.281248807907104,-2.2499988079071045,10.03125,7.75,-12.34375,-2.296875,10.046875
mistral_7b,14,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,8.09375,-11.65625,8.062500834465027,-11.593749165534971,8.062500834465027,-11.593749165534971,-1.7656241655349731,9.828125,8.09375,-11.65625,-1.78125,9.875
mistral_7b,14,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,8.5625,-10.4375,8.578125953674316,-10.468749284744264,8.578125953674316,-10.468749284744264,-0.9453116655349731,9.52343761920929,8.5625,-10.4375,-0.9375,9.5
mistral_7b,14,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,1.8125,1.84375,1.8125046491622925,1.8437509536743164,1.8125046491622925,1.8437509536743164,1.8281278014183044,-0.0156231522560119,1.8125,1.84375,1.828125,-0.015625
mistral_7b,14,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,3.3125,1.65625,3.312504529953003,1.6562507152557373,3.312504529953003,1.6562507152557373,2.48437762260437,0.8281269073486328,3.3125,1.65625,2.484375,0.828125
mistral_7b,14,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,5.21875,0.6875,5.218753576278687,0.6875005960464478,5.218753576278687,0.6875005960464478,2.953127086162567,2.2656264901161194,5.21875,0.6875,2.953125,2.265625
mistral_7b,14,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,7.53125,-1.0,7.500003099441528,-1.015624761581421,7.500003099441528,-1.015624761581421,3.2421891689300537,4.257813930511475,7.53125,-1.0,3.265625,4.265625
mistral_7b,14,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,10.0625,-4.375,10.06250274181366,-4.3749998807907104,10.06250274181366,-4.3749998807907104,2.8437514305114746,7.218751311302185,10.0625,-4.375,2.84375,7.21875
mistral_7b,14,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,12.875,-7.84375,12.875002145767212,-7.84375,12.875002145767212,-7.84375,2.515626072883606,10.359376072883606,12.875,-7.84375,2.515625,10.359375
mistral_7b,14,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,14.5,-9.9375,14.453126430511476,-9.96875,14.453126430511476,-9.96875,2.2421882152557373,12.210938215255736,14.5,-9.9375,2.28125,12.21875
mistral_7b,14,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,14.6484375,-10.71875,14.593751072883606,-10.6875,14.593751072883606,-10.6875,1.953125536441803,12.640625536441805,14.6484375,-10.71875,1.96484375,12.68359375
mistral_7b,14,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,14.375,-10.78125,14.343750834465029,-10.75,14.343750834465029,-10.75,1.7968754172325134,12.546875417232512,14.375,-10.78125,1.796875,12.578125
mistral_7b,14,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,14.109375,-10.34375,14.093750953674316,-10.34375,14.093750953674316,-10.34375,1.8750004768371584,12.218750476837158,14.109375,-10.34375,1.8828125,12.2265625
mistral_7b,14,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,13.484375,-9.375,13.453125953674316,-9.40624988079071,13.453125953674316,-9.40624988079071,2.023438036441803,11.429687917232512,13.484375,-9.375,2.0546875,11.4296875
mistral_7b,14,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-0.46875,4.7109375,-0.5000026226043701,4.687497615814209,-0.5000026226043701,4.687497615814209,2.0937474966049194,-2.5937501192092896,-0.46875,4.7109375,2.12109375,-2.58984375
mistral_7b,14,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,1.25,3.90625,1.2499980926513672,3.937498092651367,1.2499980926513672,3.937498092651367,2.593748092651367,-1.34375,1.25,3.90625,2.578125,-1.328125
mistral_7b,14,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,3.71875,2.28125,3.718749284744263,2.3124983310699463,3.718749284744263,2.3124983310699463,3.0156238079071045,0.7031254768371582,3.71875,2.28125,3.0,0.71875
mistral_7b,14,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,4.703125,-1.234375,4.687503099441528,-1.1875015497207642,4.687503099441528,-1.1875015497207642,1.750000774860382,2.9375023245811462,4.703125,-1.234375,1.734375,2.96875
mistral_7b,14,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,5.67578125,-7.453125,5.687514424324036,-7.468751192092895,5.687514424324036,-7.468751192092895,-0.8906183838844299,6.578132808208466,5.67578125,-7.453125,-0.888671875,6.564453125
mistral_7b,14,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,7.0625,-12.1220703125,7.03127121925354,-12.109375953674316,7.03127121925354,-12.109375953674316,-2.539052367210388,9.570323586463928,7.0625,-12.1220703125,-2.52978515625,9.59228515625
mistral_7b,14,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,7.53125,-13.5859375,7.531265139579773,-13.531250834465029,7.531265139579773,-13.531250834465029,-2.999992847442627,10.5312579870224,7.53125,-13.5859375,-3.02734375,10.55859375
mistral_7b,14,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,7.5546875,-13.94921875,7.562509298324585,-13.906250596046448,7.562509298324585,-13.906250596046448,-3.1718706488609314,10.734379947185516,7.5546875,-13.94921875,-3.197265625,10.751953125
mistral_7b,14,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,7.71875,-14.0,7.687503337860107,-14.000000476837158,7.687503337860107,-14.000000476837158,-3.1562485694885254,10.843751907348633,7.71875,-14.0,-3.140625,10.859375
mistral_7b,14,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,7.984375,-14.05859375,8.000001311302185,-14.093750476837158,8.000001311302185,-14.093750476837158,-3.0468745827674866,11.046875894069672,7.984375,-14.05859375,-3.037109375,11.021484375
mistral_7b,14,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,8.1484375,-13.955078125,8.187500596046448,-13.968750476837158,8.187500596046448,-13.968750476837158,-2.8906249403953552,11.078125536441805,8.1484375,-13.955078125,-2.9033203125,11.0517578125
mistral_7b,14,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,2.59375,1.15625,2.59375,1.15625,2.59375,1.15625,1.875,0.71875,2.59375,1.15625,1.875,0.71875
mistral_7b,14,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,3.34375,0.65625,3.34375,0.65625,3.34375,0.65625,2.0,1.34375,3.34375,0.65625,2.0,1.34375
mistral_7b,14,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,4.65625,0.53125,4.65625,0.53125,4.65625,0.53125,2.59375,2.0625,4.65625,0.53125,2.59375,2.0625
mistral_7b,14,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,5.953125,0.625,5.984375,0.625,5.984375,0.625,3.3046875,2.6796875,5.953125,0.625,3.2890625,2.6640625
mistral_7b,14,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,7.21875,-0.15625,7.1875,-0.15625,7.1875,-0.15625,3.515625,3.671875,7.21875,-0.15625,3.53125,3.6875
mistral_7b,14,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,8.4375,-1.6875,8.421875,-1.6875,8.421875,-1.6875,3.3671875,5.0546875,8.4375,-1.6875,3.375,5.0625
mistral_7b,14,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,9.5,-3.5,9.515625,-3.5,9.515625,-3.5,3.0078125,6.5078125,9.5,-3.5,3.0,6.5
mistral_7b,14,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,10.34375,-4.4375,10.375,-4.4375,10.375,-4.4375,2.96875,7.40625,10.34375,-4.4375,2.953125,7.390625
mistral_7b,14,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,10.59375,-4.5,10.5625,-4.5,10.5625,-4.5,3.03125,7.53125,10.59375,-4.5,3.046875,7.546875
mistral_7b,14,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,10.59375,-4.0625,10.59375,-4.0625,10.59375,-4.0625,3.265625,7.328125,10.59375,-4.0625,3.265625,7.328125
mistral_7b,14,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,10.59375,-3.5,10.5625,-3.5,10.5625,-3.5,3.53125,7.03125,10.59375,-3.5,3.546875,7.046875
mistral_7b,14,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,2.03125,3.625,2.031250238418579,3.625000238418579,2.031250238418579,3.625000238418579,2.828125238418579,-0.796875,2.03125,3.625,2.828125,-0.796875
mistral_7b,14,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,3.84375,3.96875,3.843750238418579,3.968750238418579,3.843750238418579,3.968750238418579,3.906250238418579,-0.0625,3.84375,3.96875,3.90625,-0.0625
mistral_7b,14,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,5.40625,3.78125,5.406250476837158,3.7812503576278687,5.406250476837158,3.7812503576278687,4.593750417232513,0.8125000596046448,5.40625,3.78125,4.59375,0.8125
mistral_7b,14,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,6.0,3.5625,6.015625476837158,3.5625001192092896,6.015625476837158,3.5625001192092896,4.789062798023224,1.2265626788139343,6.0,3.5625,4.78125,1.21875
mistral_7b,14,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,6.6875,3.8125,6.687500476837158,3.8437501192092896,6.687500476837158,3.8437501192092896,5.265625298023224,1.4218751788139343,6.6875,3.8125,5.25,1.4375
mistral_7b,14,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,8.21875,2.625,8.203125357627869,2.609375,8.203125357627869,2.609375,5.406250178813934,2.7968751788139343,8.21875,2.625,5.421875,2.796875
mistral_7b,14,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,10.6875,-0.25,10.656250357627869,-0.25,10.656250357627869,-0.25,5.203125178813934,5.453125178813934,10.6875,-0.25,5.21875,5.46875
mistral_7b,14,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,12.296875,-1.5625,12.296875357627869,-1.5625,12.296875357627869,-1.5625,5.367187678813934,6.929687678813934,12.296875,-1.5625,5.3671875,6.9296875
mistral_7b,14,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,12.828125,-2.0625,12.82812523841858,-2.0625,12.82812523841858,-2.0625,5.3828126192092896,7.4453126192092896,12.828125,-2.0625,5.3828125,7.4453125
mistral_7b,14,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,13.140625,-0.625,13.12500023841858,-0.625,13.12500023841858,-0.625,6.2500001192092896,6.8750001192092896,13.140625,-0.625,6.2578125,6.8828125
mistral_7b,14,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,13.15625,1.5625,13.15625023841858,1.5625,13.15625023841858,1.5625,7.3593751192092896,5.7968751192092896,13.15625,1.5625,7.359375,5.796875
mistral_7b,14,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,0.90625,2.78125,0.90625,2.78125,0.90625,2.78125,1.84375,-0.9375,0.90625,2.78125,1.84375,-0.9375
mistral_7b,14,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,2.71875,1.78125,2.71875,1.78125,2.71875,1.78125,2.25,0.46875,2.71875,1.78125,2.25,0.46875
mistral_7b,14,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,4.78125,0.0625,4.78125,0.0625,4.78125,0.0625,2.421875,2.359375,4.78125,0.0625,2.421875,2.359375
mistral_7b,14,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,6.640625,-2.0,6.625,-2.0,6.625,-2.0,2.3125,4.3125,6.640625,-2.0,2.3203125,4.3203125
mistral_7b,14,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,7.890625,-5.125,7.875,-5.109375,7.875,-5.109375,1.3828125,6.4921875,7.890625,-5.125,1.3828125,6.5078125
mistral_7b,14,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,9.046875,-10.09375,9.03125,-10.0703125,9.03125,-10.0703125,-0.51953125,9.55078125,9.046875,-10.09375,-0.5234375,9.5703125
