model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,alpha_norm,template_name,first_token_logit_diff_canonical_AB,first_token_logit_diff_canonical_BA,logprob_diff_canonical_AB,logprob_diff_canonical_BA,d_AB,d_BA,semantic_component,position_component,first_token_d_AB,first_token_d_BA,first_token_semantic_component,first_token_position_component
qwen25_3b,26,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-3.5,0.75,-3.50146484375,0.75390625,-3.50146484375,0.75390625,-1.373779296875,-2.127685546875,-3.5,0.75,-1.375,-2.125
qwen25_3b,26,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-2.0,-0.5,-1.998046875,-0.498046875,-1.998046875,-0.498046875,-1.248046875,-0.75,-2.0,-0.5,-1.25,-0.75
qwen25_3b,26,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,-0.25,-1.25,-0.25,-1.248046875,-0.25,-1.248046875,-0.7490234375,0.4990234375,-0.25,-1.25,-0.75,0.5
qwen25_3b,26,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,1.5,-2.25,1.501953125,-2.24365234375,1.501953125,-2.24365234375,-0.370849609375,1.872802734375,1.5,-2.25,-0.375,1.875
qwen25_3b,26,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,3.5,-3.0,3.50146484375,-2.998291015625,3.50146484375,-2.998291015625,0.2515869140625,3.2498779296875,3.5,-3.0,0.25,3.25
qwen25_3b,26,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,5.0,-4.25,4.9932861328125,-4.23577880859375,4.9932861328125,-4.23577880859375,0.378753662109375,4.614532470703125,5.0,-4.25,0.375,4.625
qwen25_3b,26,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,8.75,-6.5,8.749837875366211,-6.49847412109375,8.749837875366211,-6.49847412109375,1.1256818771362305,7.6241559982299805,8.75,-6.5,1.125,7.625
qwen25_3b,26,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,10.75,-7.75,10.749972701072693,-7.749546051025391,10.749972701072693,-7.749546051025391,1.5002133250236511,9.249759376049042,10.75,-7.75,1.5,9.25
qwen25_3b,26,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,12.625,-7.5,12.624979972839355,-7.499382019042969,12.624979972839355,-7.499382019042969,2.5627989768981934,10.062180995941162,12.625,-7.5,2.5625,10.0625
qwen25_3b,26,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,14.25,-7.875,14.249958038330078,-7.87445068359375,14.249958038330078,-7.87445068359375,3.187753677368164,11.062204360961914,14.25,-7.875,3.1875,11.0625
qwen25_3b,26,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,15.0,-8.25,14.999723434448242,-8.249309539794922,14.999723434448242,-8.249309539794922,3.37520694732666,11.624516487121582,15.0,-8.25,3.375,11.625
qwen25_3b,26,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-3.25,2.5,-3.253655910491944,2.498051881790161,-3.253655910491944,2.498051881790161,-0.3778020143508911,-2.875853896141052,-3.25,2.5,-0.375,-2.875
qwen25_3b,26,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-2.25,0.75,-2.255363941192627,0.7500042915344238,-2.255363941192627,0.7500042915344238,-0.7526798248291016,-1.5026841163635254,-2.25,0.75,-0.75,-1.5
qwen25_3b,26,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,-1.0,-0.75,-0.9960876703262328,-0.7480425834655762,-0.9960876703262328,-0.7480425834655762,-0.8720651268959045,-0.1240225434303283,-1.0,-0.75,-0.875,-0.125
qwen25_3b,26,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,0.5,-3.0,0.5000066757202148,-3.007320761680603,0.5000066757202148,-3.007320761680603,-1.253657042980194,1.753663718700409,0.5,-3.0,-1.25,1.75
qwen25_3b,26,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,1.75,-4.75,1.752936601638794,-4.734615802764893,1.752936601638794,-4.734615802764893,-1.490839600563049,3.2437762022018437,1.75,-4.75,-1.5,3.25
qwen25_3b,26,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,3.25,-6.25,3.2426862716674805,-6.242703080177307,3.2426862716674805,-6.242703080177307,-1.500008404254913,4.742694675922394,3.25,-6.25,-1.5,4.75
qwen25_3b,26,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,6.0,-8.125,5.996236801147461,-8.11767315864563,5.996236801147461,-8.11767315864563,-1.0607181787490845,7.056954979896545,6.0,-8.125,-1.0625,7.0625
qwen25_3b,26,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,8.25,-9.375,8.247223615646362,-9.370999813079834,8.247223615646362,-9.370999813079834,-0.5618880987167358,8.809111714363098,8.25,-9.375,-0.5625,8.8125
qwen25_3b,26,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,10.125,-10.625,10.120891094207764,-10.62243402004242,10.120891094207764,-10.62243402004242,-0.2507714629173279,10.371662557125092,10.125,-10.625,-0.25,10.375
qwen25_3b,26,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,11.375,-11.875,11.36750030517578,-11.872844815254211,11.36750030517578,-11.872844815254211,-0.2526722550392151,11.620172560214996,11.375,-11.875,-0.25,11.625
qwen25_3b,26,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,12.75,-12.0,12.744132995605469,-11.998318195343018,12.744132995605469,-11.998318195343018,0.3729074001312256,12.371225595474243,12.75,-12.0,0.375,12.375
qwen25_3b,26,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-9.75,4.25,-9.74675178527832,4.235717296600342,-9.74675178527832,4.235717296600342,-2.7555172443389893,-6.991234540939331,-9.75,4.25,-2.75,-7.0
qwen25_3b,26,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-7.75,2.5,-7.7454845905303955,2.499022960662842,-7.7454845905303955,2.499022960662842,-2.623230814933777,-5.122253775596619,-7.75,2.5,-2.625,-5.125
qwen25_3b,26,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,-5.0,0.0,-4.988648414611816,-4.76837158203125e-07,-4.988648414611816,-4.76837158203125e-07,-2.4943244457244877,-2.494323968887329,-5.0,0.0,-2.5,-2.5
qwen25_3b,26,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,-2.25,-2.25,-2.254883646965027,-2.2573245763778687,-2.254883646965027,-2.2573245763778687,-2.256104111671448,0.0012204647064208,-2.25,-2.25,-2.25,0.0
qwen25_3b,26,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,1.25,-4.625,1.2460931539535522,-4.613891959190369,1.2460931539535522,-4.613891959190369,-1.6838994026184082,2.9299925565719604,1.25,-4.625,-1.6875,2.9375
qwen25_3b,26,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,4.25,-6.875,4.235656142234802,-6.873337388038635,4.235656142234802,-6.873337388038635,-1.3188406229019165,5.554496765136719,4.25,-6.875,-1.3125,5.5625
qwen25_3b,26,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,9.75,-11.125,9.749877333641052,-11.124861598014832,9.749877333641052,-11.124861598014832,-0.6874921321868896,10.437369465827942,9.75,-11.125,-0.6875,10.4375
qwen25_3b,26,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,11.5,-13.375,11.498702049255373,-13.374963283538818,11.498702049255373,-13.374963283538818,-0.9381306171417236,12.436832666397097,11.5,-13.375,-0.9375,12.4375
qwen25_3b,26,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,11.75,-14.5,11.735594272613524,-14.499972462654114,11.735594272613524,-14.499972462654114,-1.3821890950202942,13.11778336763382,11.75,-14.5,-1.375,13.125
qwen25_3b,26,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,12.25,-14.75,12.274167537689207,-14.749939203262327,12.274167537689207,-14.749939203262327,-1.23788583278656,13.512053370475767,12.25,-14.75,-1.25,13.5
qwen25_3b,26,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,13.125,-14.125,13.149409770965576,-14.124858140945436,13.149409770965576,-14.124858140945436,-0.4877241849899292,13.637133955955504,13.125,-14.125,-0.5,13.625
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-5.25,5.75,-5.2447509765625,5.7468109130859375,-5.2447509765625,5.7468109130859375,0.2510299682617187,-5.495780944824219,-5.25,5.75,0.25,-5.5
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-4.5,4.75,-4.48895263671875,4.74139404296875,-4.48895263671875,4.74139404296875,0.126220703125,-4.61517333984375,-4.5,4.75,0.125,-4.625
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,-3.5,4.0,-3.50146484375,4.0130615234375,-3.50146484375,4.0130615234375,0.25579833984375,-3.75726318359375,-3.5,4.0,0.25,-3.75
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,-2.25,2.5,-2.24365234375,2.4990234375,-2.24365234375,2.4990234375,0.127685546875,-2.371337890625,-2.25,2.5,0.125,-2.375
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,-0.75,0.75,-0.75390625,0.75390625,-0.75390625,0.75390625,0.0,-0.75390625,-0.75,0.75,0.0,-0.75
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,0.5,-1.0,0.498046875,-1.0,0.498046875,-1.0,-0.2509765625,0.7490234375,0.5,-1.0,-0.25,0.75
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,4.5,-6.0,4.48895263671875,-5.9975128173828125,4.48895263671875,-5.9975128173828125,-0.7542800903320312,5.243232727050781,4.5,-6.0,-0.75,5.25
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,8.0,-9.25,7.999660491943359,-9.249868392944336,7.999660491943359,-9.249868392944336,-0.6251039505004883,8.624764442443848,8.0,-9.25,-0.625,8.625
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,10.5,-10.0,10.499961137771606,-9.999836921691896,10.499961137771606,-9.999836921691896,0.2500621080398559,10.24989902973175,10.5,-10.0,0.25,10.25
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,11.75,-9.875,11.74996566772461,-9.874664306640623,11.74996566772461,-9.874664306640623,0.9376506805419922,10.812314987182615,11.75,-9.875,0.9375,10.8125
qwen25_3b,26,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,11.5,-8.75,11.49989366531372,-8.748794555664062,11.49989366531372,-8.748794555664062,1.375549554824829,10.124344110488892,11.5,-8.75,1.375,10.125
