group,statement_split,statement_idx,statement_id,alpha,alpha_norm,expected_probability
continuous09,test,0,test:0,-41.9,-1.0,0.0001029194424047
continuous09,test,1,test:1,-41.9,-1.0,0.02473796259819619
continuous09,test,2,test:2,-41.9,-1.0,0.011276516792770246
continuous09,test,3,test:3,-41.9,-1.0,0.0014032036221348224
continuous09,test,4,test:4,-41.9,-1.0,1.2857570876822224e-05
continuous09,test,5,test:5,-41.9,-1.0,0.0004690418262390445
continuous09,test,6,test:6,-41.9,-1.0,0.15978229474318498
continuous09,test,7,test:7,-41.9,-1.0,0.27014619946796053
continuous09,test,8,test:8,-41.9,-1.0,0.00887912521469911
continuous09,test,9,test:9,-41.9,-1.0,0.0015915225891442444
continuous09,test,10,test:10,-41.9,-1.0,0.004453343442871689
continuous09,test,11,test:11,-41.9,-1.0,0.00026924130158744445
continuous09,test,12,test:12,-41.9,-1.0,0.0003086977401471778
continuous09,test,13,test:13,-41.9,-1.0,0.26708154619751934
continuous09,test,14,test:14,-41.9,-1.0,0.22971682857210945
continuous09,test,15,test:15,-41.9,-1.0,0.22223292430804534
continuous09,test,16,test:16,-41.9,-1.0,0.0300272036260279
continuous09,test,17,test:17,-41.9,-1.0,0.25920921119091433
continuous09,test,18,test:18,-41.9,-1.0,0.04074895935446635
continuous09,test,19,test:19,-41.9,-1.0,0.0001023539495761889
continuous09,test,20,test:20,-41.9,-1.0,0.004436877408612001
continuous09,test,21,test:21,-41.9,-1.0,0.0019712009340016445
continuous09,test,22,test:22,-41.9,-1.0,0.1581359796682062
continuous09,test,23,test:23,-41.9,-1.0,0.09118504265706746
continuous09,test,24,test:24,-41.9,-1.0,0.07631812773875404
continuous09,test,25,test:25,-41.9,-1.0,0.14736737535127833
continuous09,test,26,test:26,-41.9,-1.0,0.27623718235077804
continuous09,test,27,test:27,-41.9,-1.0,0.11739268175733682
continuous09,test,28,test:28,-41.9,-1.0,0.10253133133691311
continuous09,test,29,test:29,-41.9,-1.0,0.06708754523047869
continuous09,test,30,test:30,-41.9,-1.0,0.15916668682411528
continuous09,test,31,test:31,-41.9,-1.0,0.12994307003552666
continuous09,test,32,test:32,-41.9,-1.0,0.15851171249695561
continuous09,test,33,test:33,-41.9,-1.0,0.10822280590288272
