series,x,y,ci_low,ci_high,n_pairs,panel,category,n_permutations,p_value,item_id,domain,response,successes,n_items
valenced_opposite,-1.0,-15.4030937045813,-16.7966457142122,-13.8642913369276,80.0,a,,,,,,,,
valenced_opposite,-0.8,-16.3805206350982,-17.9260720948502,-14.7333337966166,80.0,a,,,,,,,,
valenced_opposite,-0.6,-17.0283046528697,-18.7107307674177,-15.3230135190487,80.0,a,,,,,,,,
valenced_opposite,-0.4,-16.323572088033,-18.0727736171149,-14.5113013853319,80.0,a,,,,,,,,
valenced_opposite,-0.2,-12.9768882341683,-14.7491135777161,-11.1164364507422,80.0,a,,,,,,,,
valenced_opposite,0.0,-6.58782801702619,-8.4041698249802,-4.82157428409905,80.0,a,,,,,,,,
valenced_opposite,0.2,1.5642666362226,0.255388727225363,2.91278590807691,80.0,a,,,,,,,,
valenced_opposite,0.4,5.2608315102756,4.43480660472065,6.0898921049945,80.0,a,,,,,,,,
valenced_opposite,0.6,6.62482931092381,5.93089847061783,7.30882895000279,80.0,a,,,,,,,,
valenced_opposite,0.8,7.11377336233854,6.44212936487049,7.79792297797277,80.0,a,,,,,,,,
valenced_opposite,1.0,6.974138597399,6.32704537367448,7.64282129589468,80.0,a,,,,,,,,
valenced_nonopposite,-1.0,-15.6700921624522,-17.4026128835316,-13.7859423227891,79.0,a,,,,,,,,
valenced_nonopposite,-0.8,-17.2695577929292,-19.0909099652043,-15.2589260122067,79.0,a,,,,,,,,
valenced_nonopposite,-0.6,-18.5438992154749,-20.4089618008348,-16.5944581412251,79.0,a,,,,,,,,
valenced_nonopposite,-0.4,-18.1462946134278,-20.102739348272,-16.0844367128007,79.0,a,,,,,,,,
valenced_nonopposite,-0.2,-14.179834174959,-16.3330633702535,-11.8801651334084,79.0,a,,,,,,,,
valenced_nonopposite,0.0,-6.29865125991121,-8.30717957074506,-4.32158448562215,79.0,a,,,,,,,,
valenced_nonopposite,0.2,2.47391542980943,1.09834714145223,3.76850001255545,79.0,a,,,,,,,,
valenced_nonopposite,0.4,5.62834524881991,4.72537395948473,6.50230464499585,79.0,a,,,,,,,,
valenced_nonopposite,0.6,6.72363642122172,6.00436740613814,7.46141469446541,79.0,a,,,,,,,,
valenced_nonopposite,0.8,7.10398511117018,6.45280847828599,7.76322222180382,79.0,a,,,,,,,,
valenced_nonopposite,1.0,6.94848057439056,6.3332303668502,7.58378264226868,79.0,a,,,,,,,,
neutral_opposite,-1.0,-0.870492905378342,-3.05820331169913,1.38034088015556,24.0,a,,,,,,,,
neutral_opposite,-0.8,-0.976534930368265,-3.45022146037469,1.47513832344363,24.0,a,,,,,,,,
neutral_opposite,-0.6,-1.12567336857319,-3.93644234308352,1.71748610821863,24.0,a,,,,,,,,
neutral_opposite,-0.4,-1.25128853817781,-4.30672205941131,1.89952555342267,24.0,a,,,,,,,,
neutral_opposite,-0.2,-1.15403188019991,-3.68818466328084,1.49388136714696,24.0,a,,,,,,,,
neutral_opposite,0.0,-0.843097227315108,-2.499021253859,0.835690266701081,24.0,a,,,,,,,,
neutral_opposite,0.2,-0.293666283289591,-1.43765977906684,0.794475285274286,24.0,a,,,,,,,,
neutral_opposite,0.4,-0.0895344813664754,-1.26913680322468,1.08449624180794,24.0,a,,,,,,,,
neutral_opposite,0.6,-0.0413912783066432,-1.36366378534585,1.3518483047684,24.0,a,,,,,,,,
neutral_opposite,0.8,-0.0829233676195145,-1.48802829341342,1.38506068879117,24.0,a,,,,,,,,
neutral_opposite,1.0,-0.0178427497545878,-1.334487174203,1.370048674196,24.0,a,,,,,,,,
neutral_nonopposite,-1.0,-0.51660153388977,-2.44438381409645,1.08811383193731,25.0,a,,,,,,,,
neutral_nonopposite,-0.8,-0.623183574676514,-2.54455321002006,1.05365258550644,25.0,a,,,,,,,,
neutral_nonopposite,-0.6,-0.615280032157898,-2.64410836935043,1.14762023448944,25.0,a,,,,,,,,
neutral_nonopposite,-0.4,-0.638726990222931,-2.53588028544188,1.12502961987257,25.0,a,,,,,,,,
neutral_nonopposite,-0.2,-0.414033718109131,-2.04058706599474,1.11485643064976,25.0,a,,,,,,,,
neutral_nonopposite,0.0,-0.137296950817108,-1.40835261160135,1.15979179644584,25.0,a,,,,,,,,
neutral_nonopposite,0.2,-0.120837557315826,-1.42617569279671,1.09353334414959,25.0,a,,,,,,,,
neutral_nonopposite,0.4,-0.21251900434494,-1.5099472925663,0.970654551744461,25.0,a,,,,,,,,
neutral_nonopposite,0.6,-0.265161955356598,-1.50032043004036,0.934552882492542,25.0,a,,,,,,,,
neutral_nonopposite,0.8,-0.329268035888672,-1.50363880437613,0.821477642118929,25.0,a,,,,,,,,
neutral_nonopposite,1.0,-0.515532641410828,-1.669341612041,0.631488576054572,25.0,a,,,,,,,,
position,,3.80844654592763,3.2225309917131,4.41727520110042,25.0,b_observed,neutral_nonopposite,,,,,,,
semantic,,1.67137165154125,1.12827233555164,2.32947210701683,25.0,b_observed,neutral_nonopposite,,,,,,,
position,,3.0456047665941,2.26143045750585,3.87774198576943,24.0,b_observed,neutral_opposite,,,,,,,
semantic,,2.72633878056582,2.02771582272382,3.4648933206914,24.0,b_observed,neutral_opposite,,,,,,,
position,,1.3708923236058,1.14586389801191,1.61606455053107,79.0,b_observed,valenced_nonopposite,,,,,,,
semantic,,10.1528527026608,9.38124463478965,10.8817434766961,79.0,b_observed,valenced_nonopposite,,,,,,,
position,,1.47196024032085,1.25567132833835,1.68889529219731,80.0,b_observed,valenced_opposite,,,,,,,
semantic,,9.62826559218733,8.91065721265269,10.3093398995906,80.0,b_observed,valenced_opposite,,,,,,,
semantic,,0.557924909427995,0.375539308285152,0.762737038893181,,b_permutation_null,neutral_nonopposite,5000.0,0.0001999600079984,,,,,
semantic,,0.8950612169599,0.61862249894941,1.20371162299024,,b_permutation_null,neutral_opposite,5000.0,0.0001999600079984,,,,,
semantic,,2.87953023114198,2.41560837989276,3.35450895786237,,b_permutation_null,valenced_nonopposite,5000.0,0.0001999600079984,,,,,
semantic,,2.70298189380738,2.26402774470655,3.15662744037559,,b_permutation_null,valenced_opposite,5000.0,0.0001999600079984,,,,,
position,,1.13532841463686,0.806806798997191,1.49685808015631,,b_permutation_null,neutral_nonopposite,5000.0,0.0001999600079984,,,,,
position,,1.19742820476103,0.845377332326884,1.59453532303732,,b_permutation_null,neutral_opposite,5000.0,0.0001999600079984,,,,,
position,,0.728464643747255,0.608649259071101,0.852846039162398,,b_permutation_null,valenced_nonopposite,5000.0,0.0001999600079984,,,,,
position,,0.649901622879006,0.54473626956831,0.765113404989854,,b_permutation_null,valenced_opposite,5000.0,0.0001999600079984,,,,,
