panel,task,model_name,model_label,endpoint,contrast,stratum_label,estimate,ci_low,ci_high,unit,p_value,n_pairs,layer,max_layer,relative_layer,target_layer,is_target_layer
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.3024011945676255,,,Absolute Pearson correlation,,,0.0,35.0,0.0,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.5122744047502283,,,Absolute Pearson correlation,,,1.0,35.0,0.0285714285714285,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.5580382279831577,,,Absolute Pearson correlation,,,2.0,35.0,0.0571428571428571,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.7998125507346103,,,Absolute Pearson correlation,,,3.0,35.0,0.0857142857142857,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.6667420946838445,,,Absolute Pearson correlation,,,4.0,35.0,0.1142857142857142,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.7002254789341271,,,Absolute Pearson correlation,,,5.0,35.0,0.1428571428571428,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.593141246609192,,,Absolute Pearson correlation,,,6.0,35.0,0.1714285714285714,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.6488288080779041,,,Absolute Pearson correlation,,,7.0,35.0,0.2,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.4922890707017314,,,Absolute Pearson correlation,,,8.0,35.0,0.2285714285714285,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.4885923657345185,,,Absolute Pearson correlation,,,9.0,35.0,0.2571428571428571,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.4700931622455359,,,Absolute Pearson correlation,,,10.0,35.0,0.2857142857142857,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.4433032005528933,,,Absolute Pearson correlation,,,11.0,35.0,0.3142857142857143,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.3469067101184038,,,Absolute Pearson correlation,,,12.0,35.0,0.3428571428571428,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.4248103761699966,,,Absolute Pearson correlation,,,13.0,35.0,0.3714285714285714,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.4062643108025356,,,Absolute Pearson correlation,,,14.0,35.0,0.4,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.4214626771812219,,,Absolute Pearson correlation,,,15.0,35.0,0.4285714285714285,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.4111900379193615,,,Absolute Pearson correlation,,,16.0,35.0,0.4571428571428571,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.4029323318274858,,,Absolute Pearson correlation,,,17.0,35.0,0.4857142857142857,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.4244401178646926,,,Absolute Pearson correlation,,,18.0,35.0,0.5142857142857142,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.3994987604261076,,,Absolute Pearson correlation,,,19.0,35.0,0.5428571428571428,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.2803668433316124,,,Absolute Pearson correlation,,,20.0,35.0,0.5714285714285714,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.2326033069086497,,,Absolute Pearson correlation,,,21.0,35.0,0.6,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.1700326914476799,,,Absolute Pearson correlation,,,22.0,35.0,0.6285714285714286,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.6194205274312385,,,Absolute Pearson correlation,,,23.0,35.0,0.6571428571428571,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.8463911352900898,,,Absolute Pearson correlation,,,24.0,35.0,0.6857142857142857,26.0,0.0
a,Value Judgment Task,qwen25_3b,Qwen2.5 3B,Representational Similarity,,,0.8046077453408669,,,Absolute Pearson correlation,,,25.0,35.0,0.7142857142857143,26.0,0.0
