"model_name","condition","condition_label","n_items","estimate","item_slope_sd","se","df","ci_low","ci_high","t_ratio","p_value","standardized_effect_dz","inference_note"
"qwen25_3b","direct_numeric","Direct Numeric",150,-0.0127272727272727,0.074124767208816,0.00605226189880619,149,-0.0246866219941399,-0.000767923460405472,-2.10289523818907,0.0371558781161454,-0.171700677203057,"One-sample test of item-level accuracy slopes"
"qwen25_3b","verification_true","True Statement",150,0.585454545454546,0.0642651753068835,0.00524722959107913,149,0.575085950636213,0.595823140272879,111.574028788426,1.76881054849807e-145,9.10998130260818,"One-sample test of item-level accuracy slopes"
"qwen25_3b","verification_false","False Statement",150,-0.573636363636364,0.0561464255259402,0.00458433644732434,149,-0.582695072867237,-0.56457765440549,-125.129638766188,8.05219302142509e-153,-10.2167922225314,"One-sample test of item-level accuracy slopes"
"qwen25_7b","direct_numeric","Direct Numeric",150,0,0,0,149,0,0,,1,0,"All item-level accuracy slopes were zero"
"qwen25_7b","verification_true","True Statement",150,0.641818181818182,0.0414395143103228,0.00338352217496841,149,0.635132297413441,0.648504066222923,189.689367655518,1.43143526198326e-179,15.4880720129073,"One-sample test of item-level accuracy slopes"
"qwen25_7b","verification_false","False Statement",150,-0.602424242424242,0.0627955139554474,0.00512723224422221,149,-0.612555720903898,-0.592292763944586,-117.49501753175,8.69075087495089e-149,-9.5934280090717,"One-sample test of item-level accuracy slopes"
"llama3_8b","direct_numeric","Direct Numeric",150,0.0187878787878788,0.0737622111485133,0.00602265932044301,149,0.00688702460595086,0.0306887329698068,3.11953205191372,0.0021752243716325,0.2547087254482,"One-sample test of item-level accuracy slopes"
"llama3_8b","verification_true","True Statement",150,0.643939393939394,0.0781846322880366,0.00638374849442734,149,0.631325022791352,0.656553765087436,100.871673516198,4.87683424094145e-139,8.23613765384334,"One-sample test of item-level accuracy slopes"
"llama3_8b","verification_false","False Statement",150,-0.578181818181818,0.190031102311711,0.0155159745307439,149,-0.608841588319258,-0.547522048044378,-37.2636483152372,2.08651334221054e-77,-3.04256414422844,"One-sample test of item-level accuracy slopes"
"mistral_7b","direct_numeric","Direct Numeric",150,-0.00333333333333328,0.0408248290463863,0.00333333333333333,149,-0.00992004392563057,0.00325337725896401,-0.999999999999984,0.318931744641445,-0.0816496580927713,"One-sample test of item-level accuracy slopes"
"mistral_7b","verification_true","True Statement",150,0.18,0.149590377522091,0.0122140031786475,149,0.155864968766655,0.204135031233345,14.7371829994834,6.80497981804382e-31,1.20328595315844,"One-sample test of item-level accuracy slopes"
"mistral_7b","verification_false","False Statement",150,-0.198787878787879,0.172547887540112,0.0140884760222803,149,-0.226626893061463,-0.170948864514295,-14.1099632404175,3.02043807158132e-29,-1.15207367428168,"One-sample test of item-level accuracy slopes"
"gemma2_9b","direct_numeric","Direct Numeric",150,0,0,0,149,0,0,,1,0,"All item-level accuracy slopes were zero"
"gemma2_9b","verification_true","True Statement",150,0.262121212121212,0.296475528211325,0.0242071255113289,149,0.21428761311685,0.309954811125574,10.8282667431348,1.61160403469549e-20,0.884124277314297,"One-sample test of item-level accuracy slopes"
"gemma2_9b","verification_false","False Statement",150,-0.450909090909091,0.255860370845798,0.0208909117990494,149,-0.492189807917955,-0.409628373900227,-21.5839832768624,1.02818460709263e-47,-1.76232485483594,"One-sample test of item-level accuracy slopes"
"qwen25_14b","direct_numeric","Direct Numeric",150,-0.00272727272727267,0.0334021328561342,0.00272727272727273,149,-0.00811639957551591,0.00266185412097056,-0.999999999999981,0.318931744641447,-0.081649658092771,"One-sample test of item-level accuracy slopes"
"qwen25_14b","verification_true","True Statement",150,0.641818181818182,0.0566993877115485,0.00462948562071749,149,0.632670257225721,0.650966106410642,138.63703970609,2.13197125148376e-159,11.3196668909964,"One-sample test of item-level accuracy slopes"
"qwen25_14b","verification_false","False Statement",150,-0.470606060606061,0.189447663724474,0.0154683369695779,149,-0.501171698294883,-0.440040422917238,-30.4238304047564,8.33241491174562e-66,-2.48409535042086,"One-sample test of item-level accuracy slopes"
"qwen25_32b","direct_numeric","Direct Numeric",150,0,0,0,149,0,0,,1,0,"All item-level accuracy slopes were zero"
"qwen25_32b","verification_true","True Statement",150,0.61,0.094831488755778,0.00774295863333789,149,0.594699811706222,0.625300188293778,78.7812551875971,2.44058402532497e-123,6.43246255018677,"One-sample test of item-level accuracy slopes"
"qwen25_32b","verification_false","False Statement",150,-0.523333333333333,0.089018889012359,0.00726836185165759,149,-0.537695712132422,-0.508970954534245,-72.0015519334641,1.1543216965131e-117,-5.87890209751636,"One-sample test of item-level accuracy slopes"
"qwen25_72b","direct_numeric","Direct Numeric",150,0,0,0,149,0,0,,1,0,"All item-level accuracy slopes were zero"
"qwen25_72b","verification_true","True Statement",150,0.615757575757576,0.120846509820469,0.00986707620854616,149,0.596260103144225,0.635255048370927,62.4052721133592,1.05260329767519e-108,5.09536913124222,"One-sample test of item-level accuracy slopes"
"qwen25_72b","verification_false","False Statement",150,-0.524545454545455,0.109155715954716,0.00891252688657433,149,-0.542156725119835,-0.506934183971074,-58.8548524140354,4.63240118542906e-105,-4.80547857670658,"One-sample test of item-level accuracy slopes"
