task,model_name,coefficient,standard_error,statistic,p_value,ci_low,ci_high,converged,n_rows,n_items
Sentiment Analysis: Binary,gemma2_9b,0.7043581134006822,0.020018710598785447,35.18498905935611,3.392664531923328e-271,0.6651221616101325,0.743594065191232,True,875,175
Sentiment Analysis: Binary,llama3_8b,0.6095837916370447,0.017548186894534027,34.73770796383073,2.1251515873303858e-264,0.5751899773297802,0.6439776059443092,True,1225,175
Sentiment Analysis: Binary,mistral_7b,0.5367141612581215,0.021470341912196343,24.997932657664766,6.43817980827184e-138,0.49463306437445587,0.5787952581417872,True,875,175
Sentiment Analysis: Binary,qwen25_14b,0.733588176387098,0.020220579066346313,36.27928626475538,3.4328959477277876e-288,0.6939565696705147,0.7732197831036812,True,875,175
Sentiment Analysis: Binary,qwen25_32b,0.7116215283734464,0.020340312084815997,34.98577236210011,3.7029243779653985e-268,0.6717552492529022,0.7514878074939906,True,875,175
Sentiment Analysis: Binary,qwen25_3b,0.7553600786054439,0.020187574724385215,37.4170790160851,2.061648286068411e-306,0.7157931592104377,0.79492699800045,True,875,175
Sentiment Analysis: Binary,qwen25_72b,0.7423328125358595,0.01655114894537727,44.85083271171895,0.0,0.709893156700162,0.774772468371557,True,1050,175
Sentiment Analysis: Binary,qwen25_7b,0.7758765306979155,0.018348523073501034,42.285503175917064,0.0,0.7399140863043513,0.8118389750914797,True,1050,175
Sentiment Analysis: Continuous,gemma2_9b,0.7951803475361836,0.015936166109215406,49.89784507055023,0.0,0.7639460359104736,0.8264146591618936,True,875,175
Sentiment Analysis: Continuous,llama3_8b,0.6699808764308067,0.013535064147908695,49.49964544751165,0.0,0.6434526381724663,0.6965091146891471,True,1225,175
Sentiment Analysis: Continuous,mistral_7b,0.6955498838763698,0.019210306231050966,36.207121089621346,4.7034880399082216e-287,0.6578983755315245,0.7332013922212152,True,875,175
Sentiment Analysis: Continuous,qwen25_14b,0.8388068966267712,0.013237637877594303,63.36530009228572,0.0,0.8128616031463032,0.8647521901072392,True,875,175
Sentiment Analysis: Continuous,qwen25_32b,0.9126938184853147,0.011582875577886436,78.7968248772173,0.0,0.8899917995152488,0.9353958374553807,True,875,175
Sentiment Analysis: Continuous,qwen25_3b,0.7650447012201771,0.018726358219843964,40.853896536565976,0.0,0.7283417135476873,0.8017476888926669,True,875,175
Sentiment Analysis: Continuous,qwen25_72b,0.834175938500671,0.012604644709487396,66.18004376377183,0.0,0.8094712888321524,0.8588805881691896,True,1050,175
Sentiment Analysis: Continuous,qwen25_7b,0.8211207201981308,0.015742779331610963,52.15856126175563,0.0,0.7902654396916118,0.8519760007046497,True,1050,175
Value Judgment: Continuous,gemma2_9b,0.6605772245446981,0.017510393459756565,37.72486472464918,0.0,0.6262574840084496,0.6948969650809467,True,875,175
Value Judgment: Continuous,llama3_8b,0.9113081532079107,0.007956458967229341,114.53690102108996,0.0,0.8957137801876704,0.926902526228151,True,1225,175
Value Judgment: Continuous,mistral_7b,0.5331457045842791,0.018869843281186762,28.253849098780037,1.276506409916503e-175,0.4961614913592379,0.5701299178093203,True,875,175
Value Judgment: Continuous,qwen25_14b,0.8389735936475343,0.016261983815657015,51.591097565831525,0.0,0.8071006910516734,0.8708464962433953,True,875,175
Value Judgment: Continuous,qwen25_32b,0.8546475974288181,0.015298164552384686,55.86602199906362,0.0,0.8246637458765769,0.8846314489810594,True,875,175
Value Judgment: Continuous,qwen25_3b,0.5524979147922726,0.01992281289366868,27.73192308440804,2.878962789216116e-169,0.5134499190499517,0.5915459105345935,True,875,175
Value Judgment: Continuous,qwen25_72b,0.757522883295088,0.013419634740334464,56.44884514019253,0.0,0.7312208825183499,0.783824884071826,True,1050,175
Value Judgment: Continuous,qwen25_7b,0.7689580037619757,0.016802734985618177,45.763859539541826,0.0,0.7360252483483929,0.8018907591755584,True,1050,175
