"model_name","condition","log_odds_slope_per_alpha_sd","se","ci_low","ci_high","odds_ratio_per_alpha_sd","odds_ratio_ci_low","odds_ratio_ci_high","z_ratio","p_value"
"qwen25_3b","baseline",6.57286649771758,0.571093908648941,5.45354300497544,7.69218999045971,715.417649774324,233.584291867552,2191.16794848017,11.5092568808294,1.18495045969562e-30
"qwen25_3b","user_like",7.59492003813869,0.685614146870664,6.25114100298104,8.93869907329635,1988.07087529666,518.604216171077,7621.27588237538,11.0775427735907,1.61236969984603e-28
"qwen25_3b","user_dislike",23.581835083738,2.38707847612116,18.9032472422698,28.2604229252062,17436561664.7216,162022738.145445,1876487745903.39,9.87895258561289,5.13669942764919e-23
"qwen25_7b","baseline",14.8580399346321,1.68676723748756,11.5520368988544,18.1640429704099,2836382.22779773,103988.635576971,77364839.8936051,8.80858935626659,1.26730521764525e-18
"qwen25_7b","user_like",14.5299593008282,1.74302614621076,11.1136908301435,17.946227771513,2043060.12030371,67083.3282035228,62222533.7793572,8.33605355399602,7.6811141342626e-17
"qwen25_7b","user_dislike",15.9621575146562,1.71444933441953,12.6018985658753,19.3224164634372,8556121.20063518,297122.136089154,246387599.939685,9.31036992123224,1.27387897095562e-20
"llama3_8b","baseline",6.84188448403108,0.594804857134968,5.67608838621705,8.00768058184511,936.25182493995,291.805763144368,3003.94162972619,11.5027380862133,1.27795929589796e-30
"llama3_8b","user_like",7.51157650708763,0.704449408585105,6.13088103733029,8.89227197684498,1829.09485201582,459.841119454081,7275.53025628205,10.6630460832876,1.51550921640988e-26
"llama3_8b","user_dislike",9.38872888018081,0.864549460152392,7.69424307542858,11.083214684933,11952.8961085952,2195.67122368094,65069.7262149081,10.8596781478828,1.79380305797387e-27
"mistral_7b","baseline",4.02008053166386,0.323698157133058,3.38564380182108,4.65451726150664,55.7055917101521,29.5370025722502,105.058491977569,12.4192258839811,2.05540669135801e-35
"mistral_7b","user_like",3.52060176850668,0.341877184625538,2.85053479950468,4.19066873750869,33.8047649872413,17.2970298104174,66.0669576434662,10.2978552732697,7.20497263843301e-25
"mistral_7b","user_dislike",4.89959233492668,0.343271633460569,4.22679229642973,5.57239237342363,134.235045589402,68.4971608134072,263.062691218318,14.2732223036702,3.21378859701701e-46
"gemma2_9b","baseline",12.3453586187533,1.38998192815573,9.62104410040653,15.0696731371001,229890.553143762,15078.785488286,3504902.06693377,8.88166843660586,6.58649089446709e-19
"gemma2_9b","user_like",11.7815750016375,1.49002815445558,8.86117348295392,14.7019765203212,130819.65857625,7052.75417722873,2426539.00021951,7.90694790994889,2.63775930759672e-15
"gemma2_9b","user_dislike",22.4875718716511,2.48897869381656,17.6092632734831,27.3658804698191,5837519915.88906,44422793.9749386,767098053031.647,9.03485912817077,1.64213801364755e-19
"qwen25_14b","baseline",20.2139495261408,2.7441877706511,14.8354403288494,25.5924587234322,600906271.527859,2773000.01178927,130215775559.453,7.36609562302098,1.75697817468717e-13
"qwen25_14b","user_like",19.839881586652,2.80913370470302,14.3340806976765,25.3456824756275,413381555.098832,1679624.30379363,101739603142.183,7.06263342091419,1.63376318389207e-12
"qwen25_14b","user_dislike",23.3502797552131,2.99183826518945,17.486384507873,29.2141750025532,13832403483.7434,39286225.0542908,4870291962963.2,7.80465977285523,5.96622778506096e-15
"qwen25_32b","baseline",22.0786271342232,3.54514679321428,15.1302670996155,29.0269871688308,3878161872.86777,3723844.27390443,4038874454971.69,6.22784567806432,4.72892517907611e-10
"qwen25_32b","user_like",22.84747255271,3.8267315154129,15.3472166039963,30.3477285014237,8366258034.37214,4626062.36918321,15130421492794.2,5.97049269348722,2.36538176910834e-09
"qwen25_32b","user_dislike",21.0306715314347,3.38664270511092,14.392973800912,27.6683692619574,1359892557.09121,1781513.42700941,1038054352436.99,6.20988789271938,5.30224140128369e-10
"qwen25_72b","baseline",11.641696441663,1.28354470762311,9.12599504217469,14.1573978411513,113742.959644547,9191.13803897981,1407601.62820241,9.06995788500525,1.19063027638191e-19
"qwen25_72b","user_like",12.91498903897,1.48878908360125,9.99701605453516,15.8329620234049,406357.681220768,21960.837985689,7519137.7120821,8.67482787268279,4.14176463549495e-18
"qwen25_72b","user_dislike",11.1950409984609,1.16432101163673,8.91301374920969,13.4770682477122,72768.6855760782,7428.01356901555,712879.904064572,9.61508113876915,6.90548852114619e-22
