"pair_class","n_pairs","model_name","target_layer","n_rows","template_name"
"neutral_nonopposite",25,"qwen25_3b",26,2288,"preference_control"
"neutral_opposite",24,"qwen25_3b",26,2288,"preference_control"
"valenced_nonopposite",79,"qwen25_3b",26,2288,"preference_control"
"valenced_opposite",80,"qwen25_3b",26,2288,"preference_control"
"neutral_nonopposite",25,"qwen25_7b",18,2288,"preference_control"
"neutral_opposite",24,"qwen25_7b",18,2288,"preference_control"
"valenced_nonopposite",79,"qwen25_7b",18,2288,"preference_control"
"valenced_opposite",80,"qwen25_7b",18,2288,"preference_control"
"neutral_nonopposite",25,"qwen25_14b",28,2288,"preference_control"
"neutral_opposite",24,"qwen25_14b",28,2288,"preference_control"
"valenced_nonopposite",79,"qwen25_14b",28,2288,"preference_control"
"valenced_opposite",80,"qwen25_14b",28,2288,"preference_control"
"neutral_nonopposite",25,"qwen25_32b",43,2288,"preference_control"
"neutral_opposite",24,"qwen25_32b",43,2288,"preference_control"
"valenced_nonopposite",79,"qwen25_32b",43,2288,"preference_control"
"valenced_opposite",80,"qwen25_32b",43,2288,"preference_control"
"neutral_nonopposite",25,"qwen25_72b",52,2288,"preference_control"
"neutral_opposite",24,"qwen25_72b",52,2288,"preference_control"
"valenced_nonopposite",79,"qwen25_72b",52,2288,"preference_control"
"valenced_opposite",80,"qwen25_72b",52,2288,"preference_control"
"neutral_nonopposite",25,"llama3_8b",13,2288,"preference_control"
"neutral_opposite",24,"llama3_8b",13,2288,"preference_control"
"valenced_nonopposite",79,"llama3_8b",13,2288,"preference_control"
"valenced_opposite",80,"llama3_8b",13,2288,"preference_control"
"neutral_nonopposite",25,"mistral_7b",14,2299,"preference_control"
"neutral_opposite",24,"mistral_7b",14,2299,"preference_control"
"valenced_nonopposite",80,"mistral_7b",14,2299,"preference_control"
"valenced_opposite",80,"mistral_7b",14,2299,"preference_control"
"neutral_nonopposite",25,"gemma2_9b",22,2299,"preference_control"
"neutral_opposite",24,"gemma2_9b",22,2299,"preference_control"
"valenced_nonopposite",80,"gemma2_9b",22,2299,"preference_control"
"valenced_opposite",80,"gemma2_9b",22,2299,"preference_control"
