"model_name","target_layer","score_mode","component","pair_id","pair_class","valence_status","opposition_status","slope","std_error","t_value","p_value","p_fdr_within_model_component","abs_slope"
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::000","neutral_nonopposite","neutral","nonopposite",1.6110315966074,0.0812339670161328,19.8319946173187,9.78070307196224e-09,6.78128746322715e-07,1.6110315966074
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::001","neutral_nonopposite","neutral","nonopposite",0.271125569701629,0.161858177102827,1.67508107748789,0.128239512571131,0.132705565247738,0.271125569701629
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::002","neutral_nonopposite","neutral","nonopposite",0.685613578676874,0.11046006555312,6.20689092699448,0.000157557512993961,0.000192776251192611,0.685613578676874
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::003","neutral_nonopposite","neutral","nonopposite",0.189485116578279,0.184267824350564,1.02831363666502,0.330644662863374,0.33548336524674,0.189485116578279
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::004","neutral_nonopposite","neutral","nonopposite",-1.80291496148626,0.260282347755257,-6.9267661715636,6.85938514079676e-05,9.57551751198474e-05,1.80291496148626
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::005","neutral_nonopposite","neutral","nonopposite",-0.534970905621402,0.153340992032964,-3.48876643178621,0.00684342730340343,0.00741371291202038,0.534970905621402
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::006","neutral_nonopposite","neutral","nonopposite",3.35431843863803,0.146063528375252,22.9647912517932,2.67449060232829e-09,2.78147022642142e-07,3.35431843863803
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::007","neutral_nonopposite","neutral","nonopposite",-0.0660464424601274,0.0251934981091315,-2.62156696835159,0.0277395726473601,0.0292884827951823,0.0660464424601274
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::008","neutral_nonopposite","neutral","nonopposite",2.21323005381966,0.233682934678515,9.47108121893656,5.61420813240073e-06,2.99897215142765e-05,2.21323005381966
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::009","neutral_nonopposite","neutral","nonopposite",-0.517817472986999,0.186385143078468,-2.77821217096149,0.021463402860499,0.0228942963845322,0.517817472986999
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::010","neutral_nonopposite","neutral","nonopposite",1.52771521461937,0.382892320593856,3.98993432997016,0.00315804494260831,0.0034755203601192,1.52771521461937
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::011","neutral_nonopposite","neutral","nonopposite",-1.4797981036003,0.131188683802328,-11.2799218706243,1.30206360869779e-06,1.38276025527491e-05,1.4797981036003
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::012","neutral_nonopposite","neutral","nonopposite",-0.164044557331134,0.140435495155962,-1.16811321204053,0.272772413193099,0.27812089188316,0.164044557331134
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::013","neutral_nonopposite","neutral","nonopposite",-1.97258702127438,0.215160623355103,-9.16797409542176,7.33758110467322e-06,2.99897215142765e-05,1.97258702127438
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::014","neutral_nonopposite","neutral","nonopposite",2.16754595189626,0.40452176340549,5.35829255179905,0.00045733866019199,0.000528480229555188,2.16754595189626
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::015","neutral_nonopposite","neutral","nonopposite",0.0208661921980029,0.115261798217774,0.181033026732575,0.86035284576464,0.862982110898923,0.0208661921980029
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::016","neutral_nonopposite","neutral","nonopposite",-1.47043644151511,0.180021006541202,-8.16813809547588,1.87388146395013e-05,4.28315763188601e-05,1.47043644151511
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::017","neutral_nonopposite","neutral","nonopposite",-0.904008112616918,0.131346525981588,-6.88261913180437,7.20542193661647e-05,9.99151841877483e-05,0.904008112616918
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::018","neutral_nonopposite","neutral","nonopposite",0.49052257903589,0.110469081152182,4.4403608133587,0.00162264786959168,0.00181457396169392,0.49052257903589
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::019","neutral_nonopposite","neutral","nonopposite",0.388782389819852,0.255210585180963,1.52337877970139,0.161997360091149,0.166809162866133,0.388782389819852
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::020","neutral_nonopposite","neutral","nonopposite",0.202838739758602,0.0794061018286458,2.554447770227,0.0309679369478097,0.032531974167396,0.202838739758602
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::021","neutral_nonopposite","neutral","nonopposite",0.46450526157378,0.184465270010067,2.51811770068387,0.0328700121949,0.034356595661001,0.46450526157378
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::022","neutral_nonopposite","neutral","nonopposite",0.0720232308463166,0.114996320757098,0.626309001645788,0.546666873146455,0.551974318516809,0.0720232308463166
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::023","neutral_nonopposite","neutral","nonopposite",0.876395980571368,0.117916592745854,7.43233806339936,3.96538169591516e-05,6.69945466001204e-05,0.876395980571368
"qwen25_3b",26,"sequence","semantic","neutral_nonopposite::neutral::024","neutral_nonopposite","neutral","nonopposite",1.46484856576115,0.162769478343276,8.99952853981521,8.54171094601415e-06,3.11697522240516e-05,1.46484856576115
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::000","neutral_opposite","neutral","opposite",-4.59620433202997,0.508686863226766,-9.03542958211021,8.26790176793367e-06,3.07093494237536e-05,4.59620433202997
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::001","neutral_opposite","neutral","opposite",-2.98123950498758,0.257567162076707,-11.5746102140914,1.04651478899777e-06,1.36046922569711e-05,2.98123950498758
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::002","neutral_opposite","neutral","opposite",2.55133565986413,0.698679309025631,3.65165481059141,0.00530386409813233,0.00577593577178809,2.55133565986413
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::003","neutral_opposite","neutral","opposite",-2.09312654781366,0.429510866658696,-4.8732796077938,0.000879516942449036,0.000999669530215298,2.09312654781366
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::004","neutral_opposite","neutral","opposite",1.66787647736159,0.236990095636791,7.03774760240515,6.06709514023103e-05,8.71782161576921e-05,1.66787647736159
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::005","neutral_opposite","neutral","opposite",2.00261571050757,0.240645238126472,8.32185887449429,1.61297225560584e-05,4.07830722286988e-05,2.00261571050757
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::006","neutral_opposite","neutral","opposite",1.51335595804026,0.24348745251765,6.21533447572851,0.000155970379640192,0.000191963544172544,1.51335595804026
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::007","neutral_opposite","neutral","opposite",2.16732327573355,0.114332791475326,18.9562700933554,1.45591924620453e-08,7.57078008026355e-07,2.16732327573355
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::008","neutral_opposite","neutral","opposite",-2.99166037003036,0.320339739129471,-9.33902355717792,6.30314015502278e-06,2.99897215142765e-05,2.99166037003036
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::009","neutral_opposite","neutral","opposite",2.13903992977911,0.134411221703228,15.9141469192355,6.74162929753524e-08,2.33709815647888e-06,2.13903992977911
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::010","neutral_opposite","neutral","opposite",0.678802523619529,0.0946356226357806,7.17280136922649,5.2351494579725e-05,7.83389271408835e-05,0.678802523619529
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::011","neutral_opposite","neutral","opposite",1.0203203715936,0.259527935266219,3.93144718909343,0.00345045478507813,0.00377733997524343,1.0203203715936
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::012","neutral_opposite","neutral","opposite",0.0653289791202299,0.367876176966755,0.17758415252351,0.862982110898923,0.862982110898923,0.0653289791202299
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::013","neutral_opposite","neutral","opposite",1.07212270041172,0.262808430742557,4.07948366565893,0.00276014581537904,0.00305377834893,1.07212270041172
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::014","neutral_opposite","neutral","opposite",-3.968290702827,0.483320957346514,-8.21046685956544,1.79769554827362e-05,4.24909856864674e-05,3.968290702827
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::015","neutral_opposite","neutral","opposite",3.07321577635999,0.413986173935923,7.42347442945201,4.00270144646938e-05,6.69945466001204e-05,3.07321577635999
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::016","neutral_opposite","neutral","opposite",-1.99553069898217,0.206630060242689,-9.65750431780543,4.77874154456772e-06,2.92931414197549e-05,1.99553069898217
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::017","neutral_opposite","neutral","opposite",-0.831926183667213,0.115405748909434,-7.20870659849083,5.03557053930288e-05,7.68098704094525e-05,0.831926183667213
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::018","neutral_opposite","neutral","opposite",-1.55914122920176,0.211358689070362,-7.37675482403618,4.20587671181066e-05,6.88836500831983e-05,1.55914122920176
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::019","neutral_opposite","neutral","opposite",1.89382845208582,0.0607505193830002,31.1738643771294,1.76350198982051e-10,3.66808413882667e-08,1.89382845208582
"qwen25_3b",26,"sequence","semantic","neutral_opposite::neutral::020","neutral_opposite","neutral","opposite",-1.82122169464795,0.191787265792164,-9.49605119571167,5.49350277989472e-06,2.99897215142765e-05,1.82122169464795
