"contrast","valence_status","opposition_status","estimate","SE","df","ci_low","ci_high","p_value","model_name","score_mode","pair_class","p_holm_across_models"
"semantic - position","neutral","nonopposite",-2.31168384504982,0.18854350137448,408.000000000907,-2.68232178673889,-1.94104590336076,1.2246528929011e-29,"qwen25_3b","sequence","neutral_nonopposite",9.79722314320882e-29
"semantic - position","valenced","nonopposite",0.555615724472804,0.106064006097329,407.999999998602,0.347115592563555,0.764115856382054,2.60012953667841e-07,"qwen25_3b","sequence","valenced_nonopposite",2.60012953667841e-07
"semantic - position","neutral","opposite",-0.880574953001559,0.192431405285507,408.000000000885,-1.25885571819057,-0.502294187812544,6.29734222288223e-06,"qwen25_3b","sequence","neutral_opposite",2.83278069399373e-05
"semantic - position","valenced","opposite",0.745744838095901,0.105399021447291,407.999999998512,0.53855192993156,0.952937746260243,6.53057595274276e-12,"qwen25_3b","sequence","valenced_opposite",6.53057595274276e-12
"semantic - position","neutral","nonopposite",-2.30891005966464,0.188539898154979,407.999999994718,-2.67954091816152,-1.93827920116777,1.39540454773798e-29,"qwen25_3b","first_token","neutral_nonopposite",1.11632363819038e-28
"semantic - position","valenced","nonopposite",0.559214513413171,0.106061979127996,407.999999994055,0.350718366110841,0.767710660715502,2.18668221847293e-07,"qwen25_3b","first_token","valenced_nonopposite",2.18668221847293e-07
"semantic - position","neutral","opposite",-0.882620742210248,0.192427727765002,407.999999994642,-1.26089427814651,-0.504347206273991,5.99772259261909e-06,"qwen25_3b","first_token","neutral_opposite",2.99886129630954e-05
"semantic - position","valenced","opposite",0.744896194284357,0.105397007186355,407.999999994003,0.537707245744826,0.952085142823887,6.87108474034762e-12,"qwen25_3b","first_token","valenced_opposite",6.87108474034762e-12
"semantic - position","neutral","nonopposite",-1.76266690783994,0.203850577076914,407.999999992048,-2.16339542804417,-1.36193838763571,1.22391699623811e-16,"qwen25_7b","sequence","neutral_nonopposite",7.34350197742867e-16
"semantic - position","valenced","nonopposite",1.40307762339462,0.114674908933012,407.999999995631,1.17765021857574,1.6285050282135,1.54088564901324e-29,"qwen25_7b","sequence","valenced_nonopposite",9.24531389407945e-29
"semantic - position","neutral","opposite",-0.815346965955756,0.208054124004305,407.999999992054,-1.22433879923949,-0.406355132672026,0.000104284393575663,"qwen25_7b","sequence","neutral_opposite",0.00031285318072699
"semantic - position","valenced","opposite",1.69056865216394,0.113955936899135,407.999999995698,1.46655459923906,1.91458270508883,3.98969812189677e-40,"qwen25_7b","sequence","valenced_opposite",2.39381887313806e-39
"semantic - position","neutral","nonopposite",-1.76212704042917,0.200546781385931,407.999999998192,-2.15636097436687,-1.36789310649147,4.32565795846056e-17,"qwen25_7b","first_token","neutral_nonopposite",2.59539477507633e-16
"semantic - position","valenced","nonopposite",1.40386219761885,0.112816378653484,407.999999994003,1.18208828301495,1.62563611222274,2.3376308215713e-30,"qwen25_7b","first_token","valenced_nonopposite",1.40257849294278e-29
"semantic - position","neutral","opposite",-0.814810102550955,0.204682201647091,407.999999998224,-1.21717342648323,-0.41244677861868,8.12833502638886e-05,"qwen25_7b","first_token","neutral_opposite",0.000243850050791666
"semantic - position","valenced","opposite",1.68433755926203,0.112109058961933,407.999999993996,1.46395409043155,1.9047210280925,6.39318587330388e-41,"qwen25_7b","first_token","valenced_opposite",3.83591152398233e-40
"semantic - position","neutral","nonopposite",-1.14393285980959,0.261114415989257,407.999999997026,-1.65723036930785,-0.630635350311323,1.50419977228311e-05,"qwen25_14b","sequence","neutral_nonopposite",3.00839954456621e-05
"semantic - position","valenced","nonopposite",2.33386314536577,0.146888335093439,407.99999999821,2.04511073660979,2.62261555412175,1.35127639769685e-44,"qwen25_14b","sequence","valenced_nonopposite",9.45893478387793e-44
"semantic - position","neutral","opposite",-0.193687134244243,0.266498784857711,407.99999999704,-0.717569211124305,0.330194942635818,0.467774873912054,"qwen25_14b","sequence","neutral_opposite",0.467774873912054
"semantic - position","valenced","opposite",2.17771425981027,0.145967396014284,407.999999998308,1.89077222883041,2.46465629079013,1.76986489035428e-40,"qwen25_14b","sequence","valenced_opposite",1.238905423248e-39
"semantic - position","neutral","nonopposite",-1.14730285390871,0.251790783603423,407.99999999071,-1.64227201004897,-0.652333697768454,6.87884617598919e-06,"qwen25_14b","first_token","neutral_nonopposite",1.37576923519784e-05
"semantic - position","valenced","nonopposite",2.33022546024625,0.141643382098447,407.999999992816,2.05178355579377,2.60866736469873,5.17231542875968e-47,"qwen25_14b","first_token","valenced_nonopposite",3.62062080013178e-46
"semantic - position","neutral","opposite",-0.19466978265955,0.256982892401635,407.999999990735,-0.699845562226054,0.310505996906953,0.449175423217262,"qwen25_14b","first_token","neutral_opposite",0.449175423217262
"semantic - position","valenced","opposite",2.13455471763282,0.140755327061298,407.999999992783,1.85785854765899,2.41125088760665,1.62351632016702e-41,"qwen25_14b","first_token","valenced_opposite",1.13646142411692e-40
"semantic - position","neutral","nonopposite",-0.692404087601788,0.225037127411272,203.999999953175,-1.13610099040322,-0.248707184800352,0.00237912314428455,"qwen25_32b","sequence","neutral_nonopposite",0.00237912314428455
"semantic - position","valenced","nonopposite",2.51024791949277,0.126593274654785,203.999999950618,2.26064891098263,2.75984692800291,1.79647215315667e-49,"qwen25_32b","sequence","valenced_nonopposite",1.43717772252534e-48
"semantic - position","neutral","opposite",1.10022275013737,0.229677556391375,203.999999953133,0.647376495005378,1.55306900526936,3.19982541129342e-06,"qwen25_32b","sequence","neutral_opposite",1.91989524677605e-05
"semantic - position","valenced","opposite",2.56423895799654,0.125799578588221,203.999999950613,2.31620484897899,2.81227306701409,4.23851187271004e-51,"qwen25_32b","sequence","valenced_opposite",3.39080949816803e-50
"semantic - position","neutral","nonopposite",-0.691639419386179,0.218707092102335,204.000003334429,-1.1228556390972,-0.260423199675155,0.00180343668979368,"qwen25_32b","first_token","neutral_nonopposite",0.00180343668979368
"semantic - position","valenced","nonopposite",2.51182228618166,0.123032351585525,204.00000333347,2.26924421044169,2.75440036192163,3.40796276411906e-51,"qwen25_32b","first_token","valenced_nonopposite",2.72637021129525e-50
"semantic - position","neutral","opposite",1.09585652531545,0.223216991157752,204.000003334429,0.655748314022162,1.53596473660874,1.868214492223e-06,"qwen25_32b","first_token","neutral_opposite",1.3077501445561e-05
"semantic - position","valenced","opposite",2.51658414899616,0.122260981275532,204.000003333432,2.27552695392757,2.75764134406475,1.10476548656021e-51,"qwen25_32b","first_token","valenced_opposite",8.83812389248171e-51
"semantic - position","neutral","nonopposite",-2.02515816498265,0.188744468097521,407.99999998837,-2.39619116612505,-1.65412516384025,7.95336948707251e-24,"qwen25_72b","sequence","neutral_nonopposite",5.56735864095076e-23
"semantic - position","valenced","nonopposite",1.12113788478705,0.10617705871162,407.999999988986,0.912415514572257,1.32986025500184,3.33219051251038e-23,"qwen25_72b","sequence","valenced_nonopposite",1.66609525625519e-22
"semantic - position","neutral","opposite",-0.885986668106071,0.192636516088311,407.999999988437,-1.26467063916122,-0.507302697050921,5.66556138798747e-06,"qwen25_72b","sequence","neutral_opposite",2.83278069399373e-05
"semantic - position","valenced","opposite",1.51192280191479,0.105511365260775,407.999999989004,1.30450904880225,1.71933655502733,5.20435827968549e-38,"qwen25_72b","sequence","valenced_opposite",2.60217913984274e-37
"semantic - position","neutral","nonopposite",-2.02182517985717,0.190953036550139,407.999999993239,-2.39719977463386,-1.64645058508048,2.61519435169133e-23,"qwen25_72b","first_token","neutral_nonopposite",1.83063604618393e-22
"semantic - position","valenced","nonopposite",1.1204765554571,0.107419475533823,407.999999993358,0.909311848007966,1.33164126290623,9.71019637790626e-23,"qwen25_72b","first_token","valenced_nonopposite",4.85509818895313e-22
"semantic - position","neutral","opposite",-0.890960960469093,0.194890626826195,407.999999993184,-1.27407605197197,-0.507845868966218,6.42594368015447e-06,"qwen25_72b","first_token","neutral_opposite",2.99886129630954e-05
"semantic - position","valenced","opposite",1.52867505920042,0.106745992559028,407.999999993326,1.31883428146364,1.7385158369372,5.66195427011408e-38,"qwen25_72b","first_token","valenced_opposite",2.83097713505704e-37
"semantic - position","neutral","nonopposite",-1.18817103608802,0.19608602853556,203.999995479343,-1.57478618957887,-0.801555882597176,6.49414528906932e-09,"llama3_8b","sequence","neutral_nonopposite",1.9482435867208e-08
"semantic - position","valenced","nonopposite",0.642814591668929,0.110307009122997,203.999995480735,0.425326575915334,0.860302607422524,2.1697579469602e-08,"llama3_8b","sequence","valenced_nonopposite",4.3395158939204e-08
"semantic - position","neutral","opposite",-0.996644316656559,0.200129464833727,203.999995479372,-1.39123175535671,-0.602056877956406,1.35172883756933e-06,"llama3_8b","sequence","neutral_opposite",9.46210186298529e-06
"semantic - position","valenced","opposite",0.820179381263623,0.109615422310869,203.999995480711,0.604054940179371,1.03630382234788,2.13870291098479e-12,"llama3_8b","sequence","valenced_opposite",4.27740582196957e-12
"semantic - position","neutral","nonopposite",-1.18646410460681,0.204109519874764,204.000019200258,-1.58889886189122,-0.784029347322411,2.33880085181662e-08,"llama3_8b","first_token","neutral_nonopposite",7.01640255544987e-08
"semantic - position","valenced","nonopposite",0.645143167835364,0.114820575637459,204.000019200924,0.418755929668976,0.871530406001751,6.25720540775051e-08,"llama3_8b","first_token","valenced_nonopposite",1.2514410815501e-07
"semantic - position","neutral","opposite",-1.00045022410029,0.208318406390681,204.000019200269,-1.41118347831178,-0.589716969888793,3.0293622581931e-06,"llama3_8b","first_token","neutral_opposite",1.81761735491586e-05
"semantic - position","valenced","opposite",0.85550764860089,0.114100690323704,204.000019200925,0.630539780151756,1.08047551705002,1.9495881816411e-12,"llama3_8b","first_token","valenced_opposite",3.89917636328219e-12
"semantic - position","neutral","nonopposite",-1.93894415758379,0.261407426360507,409.999999989103,-2.45281020796514,-1.42507810720243,6.93222422041404e-13,"mistral_7b","sequence","neutral_nonopposite",3.46611211020702e-12
"semantic - position","valenced","nonopposite",1.06381672114565,0.146131193791341,409.999999987479,0.776556866150132,1.35107657614116,1.71945219080476e-12,"mistral_7b","sequence","valenced_nonopposite",5.15835657241428e-12
"semantic - position","neutral","opposite",-0.805174667446215,0.266797837315588,409.999999989087,-1.32963700893523,-0.280712325957201,0.00270393986394872,"mistral_7b","sequence","neutral_opposite",0.00540787972789745
"semantic - position","valenced","opposite",1.42406681755981,0.146131193791341,409.999999987479,1.1368069625643,1.71132667255533,2.54321330597668e-20,"mistral_7b","sequence","valenced_opposite",7.62963991793003e-20
"semantic - position","neutral","nonopposite",-1.9364015730439,0.254300145679909,410.000000002012,-2.43629636674311,-1.4365067793447,1.84158571231024e-13,"mistral_7b","first_token","neutral_nonopposite",9.20792856155118e-13
"semantic - position","valenced","nonopposite",1.099706111201,0.142158103107094,410.000000000292,0.820256426123585,1.37915579627842,8.0588021887154e-14,"mistral_7b","first_token","valenced_nonopposite",2.41764065661462e-13
"semantic - position","neutral","opposite",-0.818743601118093,0.259543999346336,410.000000001996,-1.32894658846681,-0.308540613769377,0.00172590548103938,"mistral_7b","first_token","neutral_opposite",0.00345181096207877
"semantic - position","valenced","opposite",1.42553553020417,0.142158103107094,410.00000000042,1.14608584512675,1.70498521528159,2.60317015761789e-21,"mistral_7b","first_token","valenced_opposite",7.80951047285366e-21
"semantic - position","neutral","nonopposite",-1.35307491360589,0.177663924663834,205.000000396627,-1.70335772916215,-1.00279209804964,9.45329577836727e-13,"gemma2_9b","sequence","neutral_nonopposite",3.78131831134691e-12
"semantic - position","valenced","nonopposite",0.813437276809718,0.0993171531744337,205.000000397186,0.617623230076268,1.00925132354317,2.76433978745522e-14,"gemma2_9b","sequence","valenced_nonopposite",1.10573591498209e-13
"semantic - position","neutral","opposite",-1.16054170198979,0.181327483802777,205.000000396653,-1.51804760356407,-0.803035800415516,1.03612464908115e-09,"gemma2_9b","sequence","neutral_opposite",8.28899719264921e-09
"semantic - position","valenced","opposite",1.05987129689666,0.0993171531744337,205.000000397197,0.864057250163214,1.25568534363011,1.98618429911577e-21,"gemma2_9b","sequence","valenced_opposite",7.9447371964631e-21
"semantic - position","neutral","nonopposite",-1.35298982536715,0.175244020448707,204.999996847561,-1.69850154934055,-1.00747810139375,5.0147949658051e-13,"gemma2_9b","first_token","neutral_nonopposite",2.00591798632204e-12
"semantic - position","valenced","nonopposite",0.799147183596492,0.0979643855934179,204.999996847659,0.606000258139575,0.992294109053409,3.39311075382152e-14,"gemma2_9b","first_token","valenced_nonopposite",1.35724430152861e-13
"semantic - position","neutral","opposite",-1.14181868456057,0.178857679405497,204.999996847562,-1.49445511117898,-0.789182257942164,1.13245370960769e-09,"gemma2_9b","first_token","neutral_opposite",9.05962967686154e-09
"semantic - position","valenced","opposite",1.05513758316861,0.0979643855934179,204.999996847647,0.861990657711688,1.24828450862552,1.00009683619798e-21,"gemma2_9b","first_token","valenced_opposite",4.00038734479192e-21
