"contrast","opposition_status","estimate","SE","df","ci_low","ci_high","p_value","model_name","score_mode","component","contrast_family","contrast_stratum","valence_status","p_holm_across_models"
"valenced - neutral","nonopposite",6.07984637417625,0.45578037812497,203.999978510648,5.1812020278637,6.97849072048881,1.34531544119678e-29,"qwen25_3b","sequence","semantic","valenced_minus_neutral_within_opposition","nonopposite",NA,8.07189264718069e-29
"valenced - neutral","opposite",5.90492323647554,0.462262389605679,203.999978492787,4.99349856163271,6.81634791131837,7.68118219439138e-28,"qwen25_3b","sequence","semantic","valenced_minus_neutral_within_opposition","opposite",NA,4.60870931663483e-27
"opposite - nonopposite",NA,-0.306619334858629,0.567603310158771,203.999978464589,-1.42574058295085,0.812501913233589,0.589648323719423,"qwen25_3b","sequence","semantic","opposite_minus_nonopposite_within_valence","neutral","neutral",1
"opposite - nonopposite",NA,-0.481542472559346,0.315037699687672,203.999978637315,-1.10268998413775,0.139605039019061,0.12793171332898,"qwen25_3b","sequence","semantic","opposite_minus_nonopposite_within_valence","valenced","valenced",0.767590279973882
"valenced - neutral","nonopposite",-1.96187680682412,0.346724519974315,203.999981693739,-2.64549998265204,-1.2782536309962,5.12852066638732e-08,"qwen25_3b","sequence","position","valenced_minus_neutral_within_opposition","nonopposite",NA,2.05140826655493e-07
"valenced - neutral","opposite",-1.04859401705106,0.351655562263504,203.999981607637,-1.74193953611196,-0.355248497990149,0.0032136028767248,"qwen25_3b","sequence","position","valenced_minus_neutral_within_opposition","opposite",NA,0.00964080863017439
"opposite - nonopposite",NA,-1.69706475040816,0.431791263283983,203.999981293484,-2.54841069711613,-0.845718803700178,0.000116158450491002,"qwen25_3b","sequence","position","opposite_minus_nonopposite_within_valence","neutral","neutral",0.000696950702946015
"opposite - nonopposite",NA,-0.78378196063509,0.239657739649489,203.999982844138,-1.25630575300359,-0.311258168266588,0.00126063421105098,"qwen25_3b","sequence","position","opposite_minus_nonopposite_within_valence","valenced","valenced",0.00882443947735687
"valenced - neutral","nonopposite",6.04938371631508,0.455756255929998,203.999982471773,5.15078693089507,6.94798050173509,2.16050514880708e-29,"qwen25_3b","first_token","semantic","valenced_minus_neutral_within_opposition","nonopposite",NA,1.29630308928425e-28
"valenced - neutral","opposite",5.88468691481437,0.462237924349986,203.999982475326,4.97331047726554,6.7960633523632,1.04485540628768e-27,"qwen25_3b","first_token","semantic","valenced_minus_neutral_within_opposition","opposite",NA,6.26913243772605e-27
"opposite - nonopposite",NA,-0.309114138571926,0.567573269730587,203.99998251319,-1.42817615699423,0.809947879850373,0.586606851743495,"qwen25_3b","first_token","semantic","opposite_minus_nonopposite_within_valence","neutral","neutral",1
"opposite - nonopposite",NA,-0.473810940072636,0.315021026304664,203.999982342115,-1.09492557732654,0.147303697181268,0.134112166883609,"qwen25_3b","first_token","semantic","opposite_minus_nonopposite_within_valence","valenced","valenced",0.804673001301652
"valenced - neutral","nonopposite",-1.99145959473942,0.346591778060549,203.999962324089,-2.67482104891461,-1.30809814056423,3.293516313392e-08,"qwen25_3b","first_token","position","valenced_minus_neutral_within_opposition","nonopposite",NA,1.3174065253568e-07
"valenced - neutral","opposite",-1.06292095284686,0.351520932522507,203.999962333778,-1.75600102810348,-0.369840877590235,0.00281688239785976,"qwen25_3b","first_token","position","valenced_minus_neutral_within_opposition","opposite",NA,0.00845064719357927
"opposite - nonopposite",NA,-1.6969288008673,0.43162595395241,203.999962412181,-2.54794881410138,-0.845908787633211,0.000115625262982784,"qwen25_3b","first_token","position","opposite_minus_nonopposite_within_valence","neutral","neutral",0.000693751577896704
"opposite - nonopposite",NA,-0.768390158974736,0.239565987768168,203.999962047441,-1.24073304803455,-0.296047269914925,0.00155513534063893,"qwen25_3b","first_token","position","opposite_minus_nonopposite_within_valence","valenced","valenced",0.0108859473844725
"valenced - neutral","nonopposite",8.6459380959331,0.434524689302586,203.999997138096,7.78920276044404,9.50267343142215,1.13065489972024e-49,"qwen25_7b","sequence","semantic","valenced_minus_neutral_within_opposition","nonopposite",NA,9.04523919776192e-49
"valenced - neutral","opposite",8.45098106153966,0.440704406903194,203.999997120577,7.5820614185479,9.31990070453142,1.55127938384594e-47,"qwen25_7b","sequence","semantic","valenced_minus_neutral_within_opposition","opposite",NA,1.24102350707675e-46
"opposite - nonopposite",NA,-0.243017813976124,0.541132667905752,203.999997105416,-1.30994793140365,0.8239123034514,0.653842727770738,"qwen25_7b","sequence","semantic","opposite_minus_nonopposite_within_valence","neutral","neutral",1
"opposite - nonopposite",NA,-0.43797484836956,0.30034566020272,203.999997223943,-1.03015463996853,0.154204943229411,0.146313338964054,"qwen25_7b","sequence","semantic","opposite_minus_nonopposite_within_valence","valenced","valenced",0.767590279973882
"valenced - neutral","nonopposite",-1.26674881106501,0.303354085585023,203.999981958919,-1.86486019759678,-0.66863742453324,4.3980558381993e-05,"qwen25_7b","sequence","position","valenced_minus_neutral_within_opposition","nonopposite",NA,0.000131941675145979
"valenced - neutral","opposite",-1.27847286146365,0.307668322791924,203.999981871717,-1.8850904607703,-0.671855262157004,4.77666967894215e-05,"qwen25_7b","sequence","position","valenced_minus_neutral_within_opposition","opposite",NA,0.000238833483947107
"opposite - nonopposite",NA,-0.497684264639026,0.377780157707961,203.999981539426,-1.24253862682081,0.247170097542761,0.189185221778952,"qwen25_7b","sequence","position","opposite_minus_nonopposite_within_valence","neutral","neutral",0.567555665336855
"opposite - nonopposite",NA,-0.50940831503767,0.209679876318328,203.999983157211,-0.922825926692084,-0.0959907033832561,0.0159872008756476,"qwen25_7b","sequence","position","opposite_minus_nonopposite_within_valence","valenced","valenced",0.0959232052538856
"valenced - neutral","nonopposite",8.64340867805221,0.434030079027782,203.999981613678,7.787648545909,9.49916881019542,1.00857986295593e-49,"qwen25_7b","first_token","semantic","valenced_minus_neutral_within_opposition","nonopposite",NA,8.06863890364744e-49
"valenced - neutral","opposite",8.44920688003583,0.440202762386387,203.999981569448,7.58127630952356,9.3171374505481,1.37276521297377e-47,"qwen25_7b","first_token","semantic","valenced_minus_neutral_within_opposition","opposite",NA,1.09821217037902e-46
"opposite - nonopposite",NA,-0.243507358157455,0.54051670802092,203.999981536709,-1.30922301205578,0.822208295740874,0.652822270070749,"qwen25_7b","first_token","semantic","opposite_minus_nonopposite_within_valence","neutral","neutral",1
"opposite - nonopposite",NA,-0.437709156173833,0.300003783082306,203.999981742108,-1.02921488229329,0.153796569945621,0.146099794185599,"qwen25_7b","first_token","semantic","opposite_minus_nonopposite_within_valence","valenced","valenced",0.804673001301652
"valenced - neutral","nonopposite",-1.26929558569675,0.303409500690837,203.999915050793,-1.8675162331962,-0.671074938197307,4.26425005702224e-05,"qwen25_7b","first_token","position","valenced_minus_neutral_within_opposition","nonopposite",NA,0.000127927501710667
"valenced - neutral","opposite",-1.28080854657555,0.307724525999572,203.99991490099,-1.88753696073721,-0.674080132413901,4.64685139034732e-05,"qwen25_7b","first_token","position","valenced_minus_neutral_within_opposition","opposite",NA,0.000232342569517366
"opposite - nonopposite",NA,-0.497525696037538,0.377849168571532,203.999914141708,-1.24251612570877,0.247464733633691,0.189406129296733,"qwen25_7b","first_token","position","opposite_minus_nonopposite_within_valence","neutral","neutral",0.568218387890198
"opposite - nonopposite",NA,-0.50903865691634,0.209718179519389,203.999917656353,-0.922531790286506,-0.0955455235461731,0.0160819466899126,"qwen25_7b","first_token","position","opposite_minus_nonopposite_within_valence","valenced","valenced",0.0964916801394758
"valenced - neutral","nonopposite",9.98174951649414,0.761838505356711,203.99999498774,8.4796623311517,11.4838367018366,7.35385388081427e-29,"qwen25_14b","sequence","semantic","valenced_minus_neutral_within_opposition","nonopposite",NA,3.67692694040714e-28
"valenced - neutral","opposite",9.20677834902236,0.772673210348802,203.999995021175,7.68332879959617,10.7302278984485,3.43755463356612e-25,"qwen25_14b","sequence","semantic","valenced_minus_neutral_within_opposition","opposite",NA,1.71877731678306e-24
"opposite - nonopposite",NA,0.313279489171255,0.94875092961617,203.999995163422,-1.55733561288844,2.18389459123095,0.741586157314343,"qwen25_14b","sequence","semantic","opposite_minus_nonopposite_within_valence","neutral","neutral",1
"opposite - nonopposite",NA,-0.46169167830052,0.52658662325141,203.999994476934,-1.49994192846365,0.576558571862607,0.381646662368618,"qwen25_14b","sequence","semantic","opposite_minus_nonopposite_within_valence","valenced","valenced",1
"valenced - neutral","nonopposite",-3.37680348535174,0.400903819711448,204.00000875676,-4.16724986692299,-2.58635710378049,6.51389857456487e-15,"qwen25_14b","sequence","position","valenced_minus_neutral_within_opposition","nonopposite",NA,3.90833914473892e-14
"valenced - neutral","opposite",-1.73124980937575,0.406605388464189,204.00000868851,-2.53293775106426,-0.929561867687242,3.14853699986182e-05,"qwen25_14b","sequence","position","valenced_minus_neutral_within_opposition","opposite",NA,0.000213099888970731
