"model_name","score_mode","valence_status","semantic_direction","estimate","SE","df","ci_low","ci_high","t_value","p_value","p_holm_across_models"
"qwen25_3b","sequence","neutral","alphabetically earlier minus later",0.130219310219164,0.283801655079386,203.999978467551,-0.429341313826896,0.689779934265225,0.458839150119612,0.64683816340724,1
"qwen25_3b","sequence","valenced","positive minus negative",6.12260411554506,0.157518849843836,203.999978649774,5.81203035975597,6.43317787133415,38.8690250190057,2.92611680007429e-96,1.75567008004457e-95
"qwen25_3b","first_token","neutral","alphabetically earlier minus later",0.130263529969592,0.283786634865293,203.999982502979,-0.429267479241724,0.689794539180909,0.459019255897747,0.646709041375668,1
"qwen25_3b","first_token","valenced","positive minus negative",6.09729884553432,0.157510513152332,203.999982338442,5.78674152690733,6.40785616416131,38.7104246155143,6.10233083907921e-96,3.66139850344753e-95
"qwen25_7b","sequence","neutral","alphabetically earlier minus later",0.114404312578652,0.270566333952876,203.999997099095,-0.419060746135208,0.647869371292513,0.422832770460562,0.672862646226265,1
"qwen25_7b","sequence","valenced","positive minus negative",8.66286389131503,0.15017283010136,203.999997223896,8.36677399551554,8.95895378711452,57.6859601398468,2.80343151028474e-128,2.24274520822779e-127
"qwen25_7b","first_token","neutral","alphabetically earlier minus later",0.114267226284759,0.27025835401046,203.999981544666,-0.418590600664282,0.6471250532338,0.422807378899141,0.672881143338761,1
"qwen25_7b","first_token","valenced","positive minus negative",8.66057500532878,0.150001891541153,203.999981747436,8.3648221422691,8.95632786838846,57.7364386298606,2.36948804436688e-128,1.8955904354935e-127
"qwen25_14b","sequence","neutral","alphabetically earlier minus later",0.253720891996692,0.474375464808085,203.999995172868,-0.681586659032898,1.18902844302628,0.534852476190644,0.593334361158933,1
"qwen25_14b","sequence","valenced","positive minus negative",9.84798482475494,0.263293311625705,203.999994466189,9.32885969967321,10.3671099498367,37.4030952930347,2.85191798118651e-93,1.42595899059326e-92
"qwen25_14b","first_token","neutral","alphabetically earlier minus later",0.25580161093568,0.474412079894245,203.999988449571,-0.679578132811221,1.19118135468258,0.53919708577552,0.590338846165687,1
"qwen25_14b","first_token","valenced","positive minus negative",9.84222894357931,0.263313634150792,203.999987576642,9.32306374926506,10.3613941378936,37.3783491132971,3.2088092890296e-93,1.6044046445148e-92
"qwen25_32b","sequence","neutral","alphabetically earlier minus later",-0.168045563083611,0.400397788179484,203.999980272063,-0.957494222732469,0.621403096565247,-0.419696531910616,0.675148818347627,1
"qwen25_32b","sequence","valenced","positive minus negative",10.0588136182498,0.222233373009779,203.999980221419,9.62064476809269,10.496982468407,45.2623900812918,2.36511416916338e-108,1.65557991841437e-107
"qwen25_32b","first_token","neutral","alphabetically earlier minus later",-0.167898676810102,0.399735953866367,203.999931570149,-0.956042424750487,0.620245071130282,-0.420023956279477,0.674909999649173,1
"qwen25_32b","first_token","valenced","positive minus negative",10.0463011415633,0.221866034137989,203.999931199601,9.60885655846595,10.4837457246606,45.280933517363,2.19203726094819e-108,1.53442608266373e-107
"qwen25_72b","sequence","neutral","alphabetically earlier minus later",0.277405400239186,0.274036388936844,204.000016722615,-0.262901429861396,0.817712230339768,1.0122940289624,0.312596626773934,1
"qwen25_72b","sequence","valenced","positive minus negative",5.64467852670229,0.15209881982054,204.000019866611,5.34479123249824,5.94456582090633,37.1119153545202,1.14617553501924e-92,4.58470214007694e-92
"qwen25_72b","first_token","neutral","alphabetically earlier minus later",0.280156539164969,0.273867668088841,204.000012044897,-0.259817630712409,0.820130709042348,1.02296317458726,0.307536794039487,1
"qwen25_72b","first_token","valenced","positive minus negative",5.64590685832077,0.152005174440227,204.000012051063,5.34620420098195,5.9456095156596,37.1428596369323,9.88290766556817e-93,3.95316306622727e-92
"llama3_8b","sequence","neutral","alphabetically earlier minus later",0.023421916961024,0.129955167429519,203.999977089674,-0.232805604219083,0.279649438141131,0.180230747451631,0.857150330505057,1
"llama3_8b","sequence","valenced","positive minus negative",1.80711713617032,0.0721292076293048,203.999978543635,1.66490279840819,1.94933147393245,25.0538886474073,3.57138111643618e-64,7.14276223287236e-64
"llama3_8b","first_token","neutral","alphabetically earlier minus later",0.0235329157125362,0.128263934186969,203.999951610796,-0.229360067214467,0.276425898639539,0.18347258613035,0.854609455102486,1
"llama3_8b","first_token","valenced","positive minus negative",1.80134779277027,0.0711905199563616,203.999948668272,1.66098422865883,1.94171135688171,25.3031975869042,7.72902515029651e-65,1.5458050300593e-64
"mistral_7b","sequence","neutral","alphabetically earlier minus later",-0.0550936564444175,0.24056274323822,204.999881552002,-0.529388004432826,0.419200691543991,-0.229019904340966,0.819081761084245,1
"mistral_7b","sequence","valenced","positive minus negative",3.81336229400537,0.133099356897085,204.99988223907,3.55094313530211,4.07578145270864,28.6504937582375,1.29444119170599e-73,3.88332357511797e-73
"mistral_7b","first_token","neutral","alphabetically earlier minus later",-0.0556029133741556,0.238300136481534,205.000006436031,-0.525436296248771,0.41423046950046,-0.233331437384486,0.815736870314523,1
"mistral_7b","first_token","valenced","positive minus negative",3.80904618050158,0.131847494284562,205.000005436568,3.54909519944182,4.06899716156135,28.8897881690542,3.29487717258213e-74,9.8846315177464e-74
"gemma2_9b","sequence","neutral","alphabetically earlier minus later",0.146905781393431,0.220919226558045,204.999942933545,-0.288659339463193,0.582470902250054,0.664975084705144,0.506813816812858,1
"gemma2_9b","sequence","valenced","positive minus negative",2.91069902697337,0.122230926473762,204.999940485467,2.66970810420392,3.15168994974282,23.8131143315695,6.05452278607508e-61,6.05452278607508e-61
"gemma2_9b","first_token","neutral","alphabetically earlier minus later",0.147048157133586,0.221348397941956,204.999984112704,-0.289363119006197,0.583459433273369,0.66432898769905,0.507226309550599,1
"gemma2_9b","first_token","valenced","positive minus negative",2.9055615790236,0.122468379848419,204.99998755843,2.66410249267819,3.14702066536902,23.7249940157603,1.05848661415348e-60,1.05848661415348e-60
