"model_name","score_mode","component","pair_class","valence_status","opposition_status","alpha_norm","mean","ci_low","ci_high","n_pairs"
"qwen25_3b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",-1,-0.88451016664505,-1.8982983134985,0.080947471916675,25
"qwen25_3b","sequence","semantic","neutral_opposite","neutral","opposite",-1,0.747636472185453,-0.761217213297884,2.36546779678514,24
"qwen25_3b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",-1,-9.66483064542843,-10.5752935369558,-8.75447692046814,79
"qwen25_3b","sequence","semantic","valenced_opposite","valenced","opposite",-1,-9.32415734902024,-10.2362727157772,-8.36133839832619,80
"qwen25_3b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",-0.8,-0.828259010314941,-1.79797245550156,0.0959431511163708,25
"qwen25_3b","sequence","semantic","neutral_opposite","neutral","opposite",-0.8,0.78171560416619,-0.682836747852465,2.37756057325751,24
"qwen25_3b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",-0.8,-9.13364212799676,-10.058427648284,-8.20537002726069,79
"qwen25_3b","sequence","semantic","valenced_opposite","valenced","opposite",-0.8,-8.85348467677832,-9.80013005336747,-7.92833202172071,80
"qwen25_3b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",-0.6,-0.775938329696655,-1.65566975587606,0.0842215200066556,25
"qwen25_3b","sequence","semantic","neutral_opposite","neutral","opposite",-0.6,0.853424794971943,-0.562665751328071,2.2935017089049,24
"qwen25_3b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",-0.6,-8.54056841889514,-9.49887938625828,-7.60288554811025,79
"qwen25_3b","sequence","semantic","valenced_opposite","valenced","opposite",-0.6,-8.26044665947557,-9.27468485042453,-7.30063740519807,80
"qwen25_3b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",-0.4,-0.714532077312469,-1.57484615594149,0.0862367301583281,25
"qwen25_3b","sequence","semantic","neutral_opposite","neutral","opposite",-0.4,0.857024051249027,-0.450268566670517,2.21766699527701,24
"qwen25_3b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",-0.4,-7.56269104873078,-8.56833682162098,-6.59142012622538,79
"qwen25_3b","sequence","semantic","valenced_opposite","valenced","opposite",-0.4,-7.39097084850073,-8.44550537960604,-6.39175155637786,80
"qwen25_3b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",-0.2,-0.60659019947052,-1.36998880654573,0.144372480034828,25
"qwen25_3b","sequence","semantic","neutral_opposite","neutral","opposite",-0.2,0.83824777106444,-0.389678794083496,2.13304604260872,24
"qwen25_3b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",-0.2,-6.1991426854194,-7.25765249466972,-5.14738267254603,79
"qwen25_3b","sequence","semantic","valenced_opposite","valenced","opposite",-0.2,-6.19211437106132,-7.3057619327493,-5.17165070274845,80
"qwen25_3b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0,-0.481671288013458,-1.17361372226477,0.201633650600909,25
"qwen25_3b","sequence","semantic","neutral_opposite","neutral","opposite",0,0.770563287039598,-0.385158724337816,1.98939136428137,24
"qwen25_3b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",0,-4.32211461700971,-5.41034664219316,-3.18479488776832,79
"qwen25_3b","sequence","semantic","valenced_opposite","valenced","opposite",0,-4.57020352780819,-5.69270480252802,-3.47943515909836,80
"qwen25_3b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.2,-0.322031579017639,-0.99009521728754,0.292075583517551,25
"qwen25_3b","sequence","semantic","neutral_opposite","neutral","opposite",0.2,0.747462059060732,-0.610947800365587,2.03324033388247,24
"qwen25_3b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",0.2,1.30805074036876,0.226862695435934,2.40513550039334,79
"qwen25_3b","sequence","semantic","valenced_opposite","valenced","opposite",0.2,0.724139020591974,-0.288917776532471,1.74472657442093,80
"qwen25_3b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.4,-0.209926421642303,-0.912101767778397,0.478392240822315,25
"qwen25_3b","sequence","semantic","neutral_opposite","neutral","opposite",0.4,0.758905390898387,-0.804664254685243,2.27345761042088,24
"qwen25_3b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",0.4,5.61030003617081,4.64881837415167,6.57986211299519,79
"qwen25_3b","sequence","semantic","valenced_opposite","valenced","opposite",0.4,4.92738583534956,4.04670456636697,5.78325617600232,80
"qwen25_3b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.6,-0.0929497742652893,-0.899776750564575,0.686556741714478,25
"qwen25_3b","sequence","semantic","neutral_opposite","neutral","opposite",0.6,0.799695705374082,-0.878742215037346,2.48435044561823,24
"qwen25_3b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",0.6,7.03768722015091,6.0931980716654,7.97982656337038,79
"qwen25_3b","sequence","semantic","valenced_opposite","valenced","opposite",0.6,6.20904391333461,5.36647710118443,7.06350973738357,80
"qwen25_3b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.8,-0.0798360109329224,-0.967391813993454,0.801354364573955,25
"qwen25_3b","sequence","semantic","neutral_opposite","neutral","opposite",0.8,0.798759743571281,-0.863885070880254,2.46092759687453,24
"qwen25_3b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",0.8,6.71802031390275,5.703533001527,7.71727581920126,79
"qwen25_3b","sequence","semantic","valenced_opposite","valenced","opposite",0.8,5.81526619791985,4.91381952214986,6.74422780353576,80
"qwen25_3b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",1,-0.179281511306763,-1.1630025485754,0.772496709048747,25
"qwen25_3b","sequence","semantic","neutral_opposite","neutral","opposite",1,0.663003355264664,-0.857379024165372,2.18370034061372,24
"qwen25_3b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",1,5.80632227885572,4.75194638675149,6.86511975826719,79
"qwen25_3b","sequence","semantic","valenced_opposite","valenced","opposite",1,4.86852942854166,3.92029690308496,5.83795681653544,80
"qwen25_3b","sequence","position","neutral_nonopposite","neutral","nonopposite",-1,-4.76767642259598,-5.81058708101511,-3.61881084150076,25
